"Kategorie_zamestnani_CZ_ISCO";"Pocet_zamestnancu_v_tis";"Kc_mes_median";"Kc_mes_1_decil";"Kc_mes_1_kvartil";"Kc_mes_3_kvartil";"Kc_mes_9_decil";"Kc_mes_prumer";"odmeny_%";"priplatky_%";"nahrady_%";"hod_mes";"CZ_ISCO";"Povolani"
"2132 Specialiste v oblasti zemedelstvi, lesnictvi, rybarstvi a vodniho hospodarstvi";3.1605;30540.1402;19425.6142;27119.3282;35643.2717;43760.388;33422.5215;17.56;0.43;7.37;172.6454;"2132";"Specialiste v oblasti zemedelstvi, lesnictvi, rybarstvi a vodniho hospodarstvi"
"2141 Specialiste v oblasti prumysloveho inzenyrstvi a v pribuznych oblastech";12.6997;37906.0704;25055.687;30741.7046;50863.315;72098.4885;45826.1086;15.01;1.9;6.75;169.6411;"2141";"Specialiste v oblasti prumysloveho inzenyrstvi a v pribuznych oblastech"
"2142 Stavebni inzenyri";11.2202;31091.0464;19021.7185;24667.0152;44197.1048;62556.9433;37576.1566;18.29;1.3;6.93;172.8488;"2142";"Stavebni inzenyri"
"2144 Strojni inzenyri";18.3428;43122.5208;25729.5416;33281.6206;56378.9448;65385.1363;45941.8128;17.04;1.63;5.64;170.0077;"2144";"Strojni inzenyri"
"2145 Chemicti inzenyri a specialiste v prib.odorech (gumar.,plastik.,potrav.,vodar.apod.)";3.8442;40404.1778;25289.3478;29692.1243;56083.5726;69274.7565;45613.8552;15.4;1.35;6.08;169.0263;"2145";"Chemicti inzenyri a specialiste v prib.odorech (gumar.,plastik.,potrav.,vodar.apod.)"
"2146 Dulni, hutni, slevarensti inzenyri ";0.5816;41608.5821;27077.1235;34271.9168;52281.0559;71459.1982;45718.1128;16.78;4.21;6.38;165.758;"2146";"Dulni, hutni, slevarensti inzenyri "
"2149 Inzenyri v ostatnich oborech (textilni, kozedelny, polygraficky, drevarsky apod.)";4.6839;37119.8687;24168.7017;30460.6351;52455.3799;70058.8986;44193.5381;14.38;1.61;6.49;170.1238;"2149";"Inzenyri v ostatnich oborech (textilni, kozedelny, polygraficky, drevarsky apod.)"
"2151 Inzenyri elektrotechnici a energetici ";8.9639;41441.4294;25260.0244;31141.6097;55097.6068;75007.4517;46879.7136;15.94;3.75;6.7;169.6176;"2151";"Inzenyri elektrotechnici a energetici "
"2152 Inzenyri elektronici ";3.702;41955.0046;28403.2413;33393.7927;52433.0294;65169.3424;45942.3382;13.46;1.17;6.44;173.237;"2152";"Inzenyri elektronici "
"2153 Inzenyri v oblasti elektronickych komunikaci (vcetne radiokomunikaci)";1.0605;44240.9637;30738.9166;37387.5505;79658.2795;109605.1215;59162.461;15.09;4.4;5.63;172.5282;"2153";"Inzenyri v oblasti elektronickych komunikaci (vcetne radiokomunikaci)"
"2211 Prakticti lekari";2.2417;23683.4268;14781.4107;16349.3557;28564.0882;46493.9177;27290.42;9.5;1.17;8.18;176.1282;"2211";"Prakticti lekari"
"2212 Lekari specialiste";11.915;45292.2961;17640.5003;28167.785;61715.5574;83744.9298;49261.4458;16.85;7.44;6.42;178.184;"2212";"Lekari specialiste"
