"Kategorie_zamestnani_CZ_ISCO";"Pocet_zamestnancu_v_tis";"Kc_mes_median";"Kc_mes_1_decil";"Kc_mes_1_kvartil";"Kc_mes_3_kvartil";"Kc_mes_9_decil";"Kc_mes_prumer";"odmeny_%";"priplatky_%";"nahrady_%";"hod_mes";"CZ_ISCO";"Povolani"
"3513 Technici pocitacovych siti a systemu";4.6678;36364.364;18997.89;25339.6561;46234.2103;61892.2253;39151.3228;15.69;3.72;5.87;172.1626;"3513";"Technici pocitacovych siti a systemu"
"3521 Technici v oblasti vysilani a audiovizualnich zaznamu";1.3964;31191.146;21723.3655;26633.3913;36364.8923;41983.9479;32179.9079;4.5;10.98;6.38;171.1478;"3521";"Technici v oblasti vysilani a audiovizualnich zaznamu"
"3522 Technici v oblasti telekomunikaci a radiokomunikaci";2.2423;29485.1768;22837.6461;23634.0301;41605.6101;62122.812;37122.8384;14.47;5.35;5.23;175.0206;"3522";"Technici v oblasti telekomunikaci a radiokomunikaci"
"4110 Vseobecni administrativni pracovnici";64.0313;18957.8689;10814.3605;13020.5484;25610.3212;34906.4675;21541.868;12.31;0.74;6.72;173.3535;"4110";"Vseobecni administrativni pracovnici"
"4120 Sekretari (vseobecni)";20.8074;20620.8958;11861.3812;15517.4489;26997.34;34862.16;22756.6034;12.38;0.94;6.94;173.0315;"4120";"Sekretari (vseobecni)"
"4132 Pracovnici pro zadavani dat";4.7477;23296.8866;16173.2861;19252.1453;29569.6523;38370.7668;25948.5699;12.57;1.82;7.49;172.4578;"4132";"Pracovnici pro zadavani dat"
"4211 Pokladnici ve financnich institucich, na postach a pracovnici v pribuznych oborech";11.2515;22128.4137;17970.1042;20415.5502;24506.5401;27340.496;22453.3661;19.19;2.26;7.23;164.7484;"4211";"Pokladnici ve financnich institucich, na postach a pracovnici v pribuznych oborech"
"4212 Bookmakeri, krupieri a pracovnici v pribuznych oborech";3.9071;19667.9947;14002.6394;16175.4;26118.1693;34984.5478;22648.6199;26.45;3.52;6.14;169.9259;"4212";"Bookmakeri, krupieri a pracovnici v pribuznych oborech"
"4222 Pracovnici v zakaznickych kontaktnich centrech";12.3709;25248.1116;16997.4246;19889.931;31925.5046;39852.7683;27911.1167;14.63;3.03;7.5;171.418;"4222";"Pracovnici v zakaznickych kontaktnich centrech"
"4223 Operatori telefonnich panelu";1.1927;21751.8415;12236;16670.8789;27492.8639;32606.6638;22625.5512;18.42;3.79;6.41;168.2658;"4223";"Operatori telefonnich panelu"
"4224 Recepcni v hotelich a dalsich ubytovacich zarizenich";3.5118;18693.6929;11502.7535;14544.0938;21583.941;25650.4717;18994.0609;10.85;3.08;6.54;171.6147;"4224";"Recepcni v hotelich a dalsich ubytovacich zarizenich"
"4225 Pracovnici v informacnich kancelarich";0.7038;20233.322;16554.3907;18422.0917;23377.7097;30348.8133;21687.5782;7.74;6.46;8.23;170.4549;"4225";"Pracovnici v informacnich kancelarich"
"4226 Recepcni (krome recepcnich v hotelich a dalsich ubytovacich zarizenich)";5.5295;19143.2598;11961.0812;15176.9132;23738.466;28098.2984;19990.7218;11.57;1.64;6.66;175.0495;"4226";"Recepcni (krome recepcnich v hotelich a dalsich ubytovacich zarizenich)"
"4311 urednici v oblasti ucetnictvi";37.9274;21084.0389;12473.1454;16412.4027;26433.6903;33700.6472;22803.6684;14.9;0.4;6.75;172.2908;"4311";"urednici v oblasti ucetnictvi"
"4312 urednici v oblasti statistiky, financnictvi a pojistovnictvi";2.7903;31974.4182;19908.3622;23513.6191;42243.9881;56783.7509;36157.5215;15.05;3.87;6.37;171.7383;"4312";"urednici v oblasti statistiky, financnictvi a pojistovnictvi"
"4313 Mzdovi ucetni";2.6129;24884.863;14984.6124;18353.014;30491.6323;39590.5314;26201.8803;13.21;0.73;6.59;174.0072;"4313";"Mzdovi ucetni"
"4321 urednici ve skladech";29.3891;22306.3807;15088.5178;18047.5333;27605.2693;33908.8911;23773.6981;17.29;2.97;7.3;173.2981;"4321";"urednici ve skladech"
"4322 urednici ve vyrobe";6.9721;26850.6522;16891.0149;20839.214;35286.3378;43755.3157;29465.4846;15.33;2.42;6.5;170.9508;"4322";"urednici ve vyrobe"
"4323 Pracovnici v doprave a preprave";25.1088;30737.3023;14973.4569;23240.6114;35558.1904;41263.9979;29936.8241;11.06;6.83;7.48;170.5279;"4323";"Pracovnici v doprave a preprave"
"4412 Pracovnici postovniho provozu (krome uredniku na prepazkach)";13.2814;18229.4312;16141.6814;17008.9588;20284.4676;23170.1157;19115.5848;14.75;2.57;7.65;162.6773;"4412";"Pracovnici postovniho provozu (krome uredniku na prepazkach)"
"4415 Pracovnici evidence dat a archivu";0.5385;23483.7021;16300.6119;20217.5343;30192.7112;37525.7217;25921.4098;13.95;1.99;6.81;168.682;"4415";"Pracovnici evidence dat a archivu"
"4416 Personalni referenti";3.1945;29271.5359;17937.5032;23484.9675;37015.3697;47024.6119;31921.7476;15.13;1.7;6.19;170.8038;"4416";"Personalni referenti"
"5111 Stevardi a jini obsluzni pracovnici v doprave";1.9853;22798.3977;17249.1855;20266.0367;27035.2037;35717.0052;25091.4478;7.58;20.43;6.9;167.7436;"5111";"Stevardi a jini obsluzni pracovnici v doprave"
"5112 Pruvodci a pribuzni pracovnici v osobni doprave";3.0179;31042.0738;27290.1036;29392.6186;32990.5476;35783.8036;31306.7119;10.15;20.45;11.12;165.9176;"5112";"Pruvodci a pribuzni pracovnici v osobni doprave"
"5120 Kuchari (krome sefkucharu), pomocni kuchari";30.6405;12459.8736;10007.4109;10949.4242;16969.2505;22597.8888;14836.2741;7.61;1.91;6.65;174.0153;"5120";"Kuchari (krome sefkucharu), pomocni kuchari"
"5131 cisnici a servirky";28.6411;11279.4896;9938.6039;10542.0654;13802.8142;19205.0133;12999.3937;4.71;0.88;7.67;174.7887;"5131";"cisnici a servirky"
"5142 Kosmetici a pracovnici v pribuznych oborech";1.1486;17449.7608;10308.0415;12525.6666;22808.3752;27151.9319;18641.8399;9.29;3.05;6.92;174.7135;"5142";"Kosmetici a pracovnici v pribuznych oborech"
"5151 Vedouci provozu stravovacich, ubytovacich a dalsich zarizeni";11.7695;16676.1788;10680.9317;12494.864;24233.7903;32415.3026;20114.4963;10.45;1.13;5.62;172.4801;"5151";"Vedouci provozu stravovacich, ubytovacich a dalsich zarizeni"
"5153 Spravci objektu";6.1016;19362.6847;10590.3127;12941.7446;25251.1352;33903.3805;20871.8214;10.35;0.97;6.46;173.7511;"5153";"Spravci objektu"
"5169 Pracovnici v oblasti osobnich sluzeb jinde neuvedeni";0.6488;15214.5456;10996.7648;12472;17828.8605;20423.5606;16041.0249;7.79;2.6;6.07;191.2138;"5169";"Pracovnici v oblasti osobnich sluzeb jinde neuvedeni"
"5222 Vedouci pracovnich tymu v prodejnach";21.5292;24099.1732;13735.0557;17172.7935;32892.6521;45341.9007;27620.4907;15.94;4.9;6.73;175.063;"5222";"Vedouci pracovnich tymu v prodejnach"
"5223 Prodavaci v prodejnach";139.8461;15716.9544;11026.3625;12563.006;19911.2162;24712.1571;17318.7068;12.51;3.52;6.85;174.5195;"5223";"Prodavaci v prodejnach"
"5230 Pokladnici a prodavaci vstupenek a jizdenek";14.8315;17702.4484;12003.18;14559.0096;21849.3703;25775.5499;18495.4712;9.6;7.74;7.53;171.2143;"5230";"Pokladnici a prodavaci vstupenek a jizdenek"
"5245 Obsluha cerpacich stanic a mycich linek dopravnich prostredku";9.2344;14057.8761;10323.3087;11655.6385;16490.4951;19050.417;14692.8347;10.48;1.09;6.92;179.2773;"5245";"Obsluha cerpacich stanic a mycich linek dopravnich prostredku"
"5246 Obsluha v zarizenich rychleho obcerstveni";1.6884;16510.1239;12446.9529;14398.1012;19574.3923;24544.6444;17752.3722;6.14;5.58;5.92;171.7251;"5246";"Obsluha v zarizenich rychleho obcerstveni"
"5321 Osetrovatele a pracovnici v socialnich sluzbach v oblasti pobytove pece";6.0174;17945.4326;14890.1505;16038.1328;20572.0095;22111.782;18482.9362;8.83;6.4;6.65;168.8195;"5321";"Osetrovatele a pracovnici v socialnich sluzbach v oblasti pobytove pece"
"5322 Osetrovatele a prac.socialnich sluzeb v obl. ambulantnich,terennich sluzeb,domaci pece ";1.4482;15649.0287;12998.7484;14303;17492.6545;19998.3172;16035.779;6.72;4.19;6.65;174.1681;"5322";"Osetrovatele a prac.socialnich sluzeb v obl. ambulantnich,terennich sluzeb,domaci pece "
"5329 Pracovnici osobni pece ve zdravotni a socialni oblasti jinde neuvedeni";9.15;16456.0252;13060.2311;14578.9869;18687.9708;21784.5138;17099.4538;9.26;7.83;6.75;172.1381;"5329";"Pracovnici osobni pece ve zdravotni a socialni oblasti jinde neuvedeni"
"5411 Hasici podnikovych sboru";2.906;30398.9758;22485.7941;25450.3196;37244.0216;43823.0542;32052.0549;9.92;17.34;7.83;168.2382;"5411";"Hasici podnikovych sboru"
"5414 Pracovnici ostrahy a bezpecnostnich agentur";35.4083;12314.0979;10676.0416;11232.5423;14719.4639;19373.689;14172.0073;7.47;4.84;6.36;169.9196;"5414";"Pracovnici ostrahy a bezpecnostnich agentur"
"6113 Zahradnici a pestitele v zahradnickych skolkach";2.5499;12241.307;10263.587;10729.2793;17633.1955;21260.8493;15043.2505;11.72;1.23;6.52;173.0511;"6113";"Zahradnici a pestitele v zahradnickych skolkach"
"6121 Chovatele hospodarskych zvirat (krome drubeze)";13.742;20657.8809;12566.2152;17475.5853;24623.6076;28985.059;21111.6343;16.05;1.07;8.09;181.4786;"6121";"Chovatele hospodarskych zvirat (krome drubeze)"
"6210 Kvalifikovani pracovnici v lesnictvi a pribuznych oblastech";1.5579;19226.231;13845.4281;15409.3836;22809.1047;26591.3331;19926.4297;16.79;1.93;9.01;172.2932;"6210";"Kvalifikovani pracovnici v lesnictvi a pribuznych oblastech"
"7112 Zednici, kamnari, dlazdici a monteri suchych staveb";17.0581;18058.4169;11361.5292;14800.1446;21450.8916;24902.1337;18359.5962;13.1;1.44;8.95;177.8604;"7112";"Zednici, kamnari, dlazdici a monteri suchych staveb"
"7115 Tesari a stavebni truhlari";5.0338;18851.1261;14833.7819;17452.6502;23661.5682;28279.6096;20535.2812;12.74;1.54;8.82;178.3327;"7115";"Tesari a stavebni truhlari"
"7119 Ostatni remeslnici a kvalifikovani pracovnici hlavni stavebni vyroby";17.0787;19656.2248;11406.7679;16052.5906;23990.8468;29399.096;20648.6847;13.88;2.03;8.61;178.1799;"7119";"Ostatni remeslnici a kvalifikovani pracovnici hlavni stavebni vyroby"
"7126 Instalateri, potrubari, stavebni zamecnici a stavebni klempiri";12.5869;23300.8115;14390.4038;19291.9531;27089.1367;30567.3195;23354.1366;15.78;4.06;7.99;172.539;"7126";"Instalateri, potrubari, stavebni zamecnici a stavebni klempiri"
"7132 Lakyrnici a nateraci (krome stavebnich)";6.4605;26318.6755;16169.2448;20675.6597;32512.3792;41865.3499;27409.4103;17.97;5.04;6.71;173.8945;"7132";"Lakyrnici a nateraci (krome stavebnich)"
"7211 Modelari, formiri, jadrari a slevaci ve slevarnach ";2.3495;24846.1933;18167.532;21770.123;27974.2376;32968.2228;25221.4365;20.16;8.86;7.88;171.9243;"7211";"Modelari, formiri, jadrari a slevaci ve slevarnach "
"7212 Svareci, rezaci plamenem a pajeci";21.45;26695.834;17584.9275;22209.3112;32937.1713;38956.6535;27722.4992;17.96;4.9;7.91;173.6654;"7212";"Svareci, rezaci plamenem a pajeci"
"7213 Pracovnici na zpracovani plechu ";5.8415;25091.3946;12956.1233;19417.1036;34847.5916;42729.6853;26952.5265;18.45;4.21;6.2;172.2936;"7213";"Pracovnici na zpracovani plechu "
"7214 Monteri kovovych konstrukci";4.263;24271.5754;14664.8644;19516.2896;29591.6059;35938.1542;24913.6604;20.01;2.76;8.56;177.6665;"7214";"Monteri kovovych konstrukci"
"7221 Kovari";0.623;28662.6192;20128.8961;23483.5529;34827.5841;41769.2215;29791.1811;21.16;15.84;7.35;168.9462;"7221";"Kovari"
"7222 Nastrojari a pribuzni pracovnici";86.6661;23208.3794;15115.3636;19052.2493;28789.9959;35798.38;24602.1782;15.92;4.66;7.74;173.6352;"7222";"Nastrojari a pribuzni pracovnici"
"7223 Serizovaci a obsluha obrabecich stroju (krome drevoobrabecich)";61.257;26313.8526;16921.8121;21238.0881;32454.3355;39927.1953;27551.5485;16.43;5.23;6.72;173.1928;"7223";"Serizovaci a obsluha obrabecich stroju (krome drevoobrabecich)"
"7224 Brusici, lestici a ostrici nastroju a kovu";3.0963;24040.3095;18170.818;20662.018;28143.2898;33340.7224;25009.8198;16.37;6.88;7.16;174.7757;"7224";"Brusici, lestici a ostrici nastroju a kovu"
"7231 Mechanici a opravari motorovych vozidel";27.5199;21229.074;10607.022;13646.472;27554.1289;36434.734;22207.0381;19.34;1.6;6.86;175.966;"7231";"Mechanici a opravari motorovych vozidel"
"7232 Mechanici a opravari leteckych motoru a zarizeni";0.7687;36428.509;23164.8712;28778.3397;46265.9378;57653.2717;37962.128;7.83;8.26;8.43;176.3111;"7232";"Mechanici a opravari leteckych motoru a zarizeni"
"7233 Mechanici a opravari zemedelskych, prumyslovych a jinych stroju a zarizeni";34.083;26013.0303;17443.822;21234.9318;31701.6877;38696.2731;27240.5248;17.34;5.86;7.37;174.386;"7233";"Mechanici a opravari zemedelskych, prumyslovych a jinych stroju a zarizeni"
"7315 Sklari, brusici skla, vyrobci bizuterie a sklenenych ozdob";1.5119;19906.1198;11950.8083;16496.3713;23589.6489;28667.808;20602.8745;18.95;8.13;7.41;168.0754;"7315";"Sklari, brusici skla, vyrobci bizuterie a sklenenych ozdob"
"7321 Pracovnici pripravy tisku";0.9238;21678.3166;10574.3687;12280.9903;27228.1832;31570.4741;21175.8425;16.87;4.16;6.78;170.0787;"7321";"Pracovnici pripravy tisku"
"7322 Tiskari";3.9563;26249.0424;15555.1666;20772.8655;32916.6459;42843.1961;27597.1991;19.53;3.72;7.31;171.0318;"7322";"Tiskari"
"7323 Pracovnici konecne upravy tisku a vazaci knih";1.1917;22922.2123;14805.084;18048.3819;26711.1619;31807.2851;23038.4493;16.32;6.04;6.55;172.456;"7323";"Pracovnici konecne upravy tisku a vazaci knih"
"7411 Stavebni a provozni elektrikari";7.3648;24155.6051;16036.9613;19737.9056;29826.7833;36660.6764;25456.1293;15.67;5.31;7.83;175.626;"7411";"Stavebni a provozni elektrikari"
"7412 Elektromechanici";30.9086;26280.4543;17078.1519;21125.7661;32602.4161;39405.5752;27481.7864;15.49;7.09;7.71;172.4417;"7412";"Elektromechanici"
"7413 Monteri a opravari elektrickych vedeni";4.6803;29043.453;18735.7325;23910.1731;37874.8195;45064.7741;30373.0383;12.88;11.26;6.87;174.172;"7413";"Monteri a opravari elektrickych vedeni"
"7421 Mechanici a opravari elektronickych pristroju";10.2604;27882.1106;17550.389;22263.2667;35145.9375;44697.2242;29474.7516;15.92;6.1;6.74;172.8889;"7421";"Mechanici a opravari elektronickych pristroju"
"7511 Zpracovatele masa, ryb a pribuzni pracovnici ";4.7872;18950.9675;12050;14044.6537;22460.4752;26718.3157;19210.8079;14.11;4.26;7.47;175.2444;"7511";"Zpracovatele masa, ryb a pribuzni pracovnici "
"7512 Pekari, cukrari (krome sefcukraru) a vyrobci cukrovinek ";7.2889;15839.2326;11237.6666;12399.0057;18411.5139;21904.0871;16172.3096;10.57;4.93;7.63;175.0462;"7512";"Pekari, cukrari (krome sefcukraru) a vyrobci cukrovinek "
"7514 Zpracovatele ovoce, zeleniny a pribuznych produktu";0.4478;16834.259;14589.2254;15718.8453;18571.1054;20769.1134;17241.6531;13.9;2.78;13.91;167.7975;"7514";"Zpracovatele ovoce, zeleniny a pribuznych produktu"
"7515 Ochutnavaci, degustatori a kontrolori kvality potravin a napoju a pribuzni pracovnici";1.135;21241.5821;12040.7222;12415.4393;28776.4367;34626.2434;22637.7606;10.15;5.25;7.72;173.755;"7515";"Ochutnavaci, degustatori a kontrolori kvality potravin a napoju a pribuzni pracovnici"
"7522 Truhlari (krome stavebnich) a pracovnici v pribuznych oborech";13.2266;15811.5427;10805.6922;12074.2776;19403.6762;23600.7731;16528.4558;13.01;0.81;8.28;174.6978;"7522";"Truhlari (krome stavebnich) a pracovnici v pribuznych oborech"
"7532 Modelari odevu, strihaci a pribuzni pracovnici";0.5582;21797.2901;13467.1666;16985.8347;28660.8896;32970.7732;23059.495;31.29;7.73;7.66;174.5145;"7532";"Modelari odevu, strihaci a pribuzni pracovnici"
"7533 svadleny, sicky, vysivaci a pracovnici v pribuznych oborech";4.9855;14065.5;10528.0355;11870.8888;17362.3307;20550.4708;15020.4549;17.17;1.4;7.85;172.1326;"7533";"svadleny, sicky, vysivaci a pracovnici v pribuznych oborech"
"7542 Strelmistri";0.1397;36134.2086;31335.3205;33589.5625;38405.4955;41636.9478;36009.2609;15.11;7.53;12.65;174.2305;"7542";"Strelmistri"
"7543 Kvalitari a testovaci vyrobku, laboranti (krome potravin a napoju)";17.3969;23841.0084;15533.6052;19182.8828;29834.1584;36285.6824;25262.134;15.93;6.97;6.78;170.4289;"7543";"Kvalitari a testovaci vyrobku, laboranti (krome potravin a napoju)"
"8111 Obsluha dulnich zarizeni (vcetne horniku)";7.0892;31192.3818;17315.6392;26547.5317;36670.0845;42335.2157;31133.0296;17.78;11.25;12.23;167.8217;"8111";"Obsluha dulnich zarizeni (vcetne horniku)"
"8112 Obsluha zarizeni na upravu rudnych a nerudnych surovin";1.7663;24674.1944;20063.49;22317.3188;27738.6841;30671.4048;25217.0282;16.11;11.01;8.61;167.6504;"8112";"Obsluha zarizeni na upravu rudnych a nerudnych surovin"
"8114 Obsluha stroju na vyrobu vyrobku z cementu, kamene a ostatnich nerostu ";3.1759;26756.9237;19403.3268;21696.8297;33401.892;38509.182;28207.2017;19.57;3.78;9.19;178.455;"8114";"Obsluha stroju na vyrobu vyrobku z cementu, kamene a ostatnich nerostu "
"8121 Obsluha zarizeni na zpracovani kovu ";25.6214;25236.6197;16890.934;20837.1257;30274.2558;35349.026;25995.5464;16.14;11.74;6.95;171.0195;"8121";"Obsluha zarizeni na zpracovani kovu "
"8122 Obsluha lakovacich a jinych zarizeni na povrchovou upravu kovu a jinych materialu";4.6343;21955.0777;16206.3775;18960.8367;26595.8891;31914.2469;23197.6987;19.71;6.56;7.01;172.0538;"8122";"Obsluha lakovacich a jinych zarizeni na povrchovou upravu kovu a jinych materialu"
"8131 Obsluha stroju a zarizeni pro chemickou vyrobu";11.4352;25276.7153;17445.2543;20168.4358;29821.2241;35692.342;25997.8965;15.68;12.27;7.48;167.0846;"8131";"Obsluha stroju a zarizeni pro chemickou vyrobu"
"8132 Obsluha stroju a zarizeni na vyrobu a zpracovani fotografickych materialu";0.1582;19107.2582;14214.7914;16467.7894;24121.0551;28496.5167;20516.4987;16.03;5.63;5.68;165.1424;"8132";"Obsluha stroju a zarizeni na vyrobu a zpracovani fotografickych materialu"
"8141 Obsluha stroju na vyrobu a zpracovani vyrobku z pryze";10.31;26922.8026;18692.648;21639.4855;34800.4541;40252.3414;28401.317;19.67;10.79;7.64;171.9703;"8141";"Obsluha stroju na vyrobu a zpracovani vyrobku z pryze"
"8142 Obsluha stroju na vyrobu a zpracovani vyrobku z plastu";27.5238;21135.5767;14723.0693;17277.5477;25006.624;30887.755;21894.9769;16.57;5.46;6.73;170.4665;"8142";"Obsluha stroju na vyrobu a zpracovani vyrobku z plastu"
"8143 Obsluha stroju na vyrobu a zpracovani vyrobku z papiru";2.5635;21727.0441;12999.9289;18073.557;27895.8927;33587.5018;23224.4387;13.87;8.89;8.15;168.9402;"8143";"Obsluha stroju na vyrobu a zpracovani vyrobku z papiru"
"8151 Obsluha stroju na upravu vlaken, dopradani a navijeni prize a niti";1.2936;21870.5966;17245.1767;19525.8337;24252.1196;27300.8074;22668.0469;19.93;16.11;5.67;172.9512;"8151";"Obsluha stroju na upravu vlaken, dopradani a navijeni prize a niti"
"8153 Obsluha sicich a vysivacich stroju";3.7027;23178.0903;13919.7668;17323.6675;26714.6379;30049.3563;22338.6201;27.73;9.97;7.11;175.8337;"8153";"Obsluha sicich a vysivacich stroju"
"8156 Obsluha stroju na vyrobu obuvi a pribuznych vyrobku";0.3995;15750.5;13004.1152;14281.5;17563.5075;19938.6441;16197.8366;11.18;3.32;5.84;171.9563;"8156";"Obsluha stroju na vyrobu obuvi a pribuznych vyrobku"
"8159 Obsluha stroju na vyrobu, upravu textilnich, kozenych, kozesinovych vyrobku j. n.";2.0888;19303.5187;14126.1666;17083.2522;22354.4221;26907.3362;20205.7755;15.25;8.68;6.4;171.2423;"8159";"Obsluha stroju na vyrobu, upravu textilnich, kozenych, kozesinovych vyrobku j. n."
"8160 Obsluha stroju na vyrobu potravin a pribuznych vyrobku";17.2128;20557.1597;13963;17081.8826;24753.3933;29110.2361;21296.7611;15.32;4.52;8.28;174.5385;"8160";"Obsluha stroju na vyrobu potravin a pribuznych vyrobku"
"8171 Obsluha stroju a zarizeni na vyrobu a zpracovani papiru";0.8439;26792.6874;16310.4892;21488.405;32883.2218;38844.2978;27495.2639;19.3;5.7;7.58;170.6149;"8171";"Obsluha stroju a zarizeni na vyrobu a zpracovani papiru"
"8172 Obsluha automatizovanych stroju a zarizeni na prvotni zpracovani dreva";2.7801;21623.6636;15041.3333;17942.8318;26192.7767;31602.8082;22666.976;20.94;5.66;6.01;174.9724;"8172";"Obsluha automatizovanych stroju a zarizeni na prvotni zpracovani dreva"
"8181 Obsluha stroju a zarizeni na vyrobu skla, keramiky a stavebnin";12.941;27512.9156;18238.3876;22524.8012;32937.2064;36815.0532;27869.5581;17.63;9.27;7.81;168.15;"8181";"Obsluha stroju a zarizeni na vyrobu skla, keramiky a stavebnin"
"8182 Obsluha parnich turbin, kotlu a pribuznych zarizeni";3.9323;26184.7893;15416.8333;20678.2456;29985.9416;35790.3523;25829.8385;14.54;9.5;7.18;175.4584;"8182";"Obsluha parnich turbin, kotlu a pribuznych zarizeni"
"8183 Obsluha stroju na baleni, plneni a etiketovani";3.7434;19341.403;14187.7135;16483.5839;23857.7173;27916.8007;20492.7582;15.43;5.92;7.36;170.5769;"8183";"Obsluha stroju na baleni, plneni a etiketovani"
"8189 Obsluha stacionarnich stroju a zarizeni jinde neuvedena";18.9661;24881.377;16109.0199;20522.177;30562.0719;37970.9698;26120.4947;15.9;10.52;6.78;169.7595;"8189";"Obsluha stacionarnich stroju a zarizeni jinde neuvedena"
"8211 Montazni delnici mechanickych zarizeni";38.9551;23795.9768;16221.1007;19887.2652;28230.1373;32557.6737;24252.9066;15.34;8.9;6.12;170.7041;"8211";"Montazni delnici mechanickych zarizeni"
"8212 Montazni delnici elektrickych, energetickych a elektronickych zarizeni";38.0222;20136.2213;14465.1666;17083.1315;24545.7607;29537.0697;21643.8309;15.21;6.12;6.84;170.806;"8212";"Montazni delnici elektrickych, energetickych a elektronickych zarizeni"
"8219 Montazni delnici ostatnich vyrobku";59.9803;21610.2229;14260.8333;17091.2188;27122.7037;35032.381;23067.7833;17.17;5.49;6.25;171.9029;"8219";"Montazni delnici ostatnich vyrobku"
"8311 Strojvedouci a ridici kolejovych motorovych voziku";7.1602;36733.2563;28323.8696;34155.7432;39921.7285;44402.2911;36790.0744;9.36;16.44;10.38;169.4183;"8311";"Strojvedouci a ridici kolejovych motorovych voziku"
"8312 Signalisti, brzdari, vyhybkari, posunovaci a pribuzni pracovnici";7.2296;26464.1943;21639.4415;24202.7708;29172.8355;32138.8402;26858.9752;9.15;12.66;9.61;165.4465;"8312";"Signalisti, brzdari, vyhybkari, posunovaci a pribuzni pracovnici"
"8322 ridici osobnich a malych dodavkovych automobilu, taxikari ";13.9481;19151.8931;11017.6271;13513.1374;23850.6112;28599.1621;19688.9193;13.98;2.36;6.68;175.4449;"8322";"ridici osobnich a malych dodavkovych automobilu, taxikari "
"8331 ridici autobusu, trolejbusu a tramvaji";15.7461;26558.9014;20975.3762;23361.8729;33650.0907;36587.9599;27765.1648;8.8;15.91;7.54;188.1348;"8331";"ridici autobusu, trolejbusu a tramvaji"
"8332 ridici nakladnich automobilu, tahacu a specialnich vozidel";101.9905;19063.6632;12147.5;14047.1428;24789.2053;29877.7562;20156.7221;17.92;2.09;7.24;179.1932;"8332";"ridici nakladnich automobilu, tahacu a specialnich vozidel"
"8341 ridici a obsluha zemedelskych a lesnickych stroju";15.1176;21176.9054;15073.5787;17680.96;24319.8183;27085.8603;21354.6685;16.06;0.55;9.41;185.6652;"8341";"ridici a obsluha zemedelskych a lesnickych stroju"
"8342 Obsluha zeleznicnich, zemnich a pribuznych stroju a zarizeni";10.355;24557.6607;17743.875;21095.6397;28634.9197;34540.7711;25409.3374;19.89;4.21;9.07;179.2799;"8342";"Obsluha zeleznicnich, zemnich a pribuznych stroju a zarizeni"
"8343 Obsluha jerabu, zdvihacich a podobnych manipulacnich zarizeni";4.6957;22351.5504;13564.2815;17953.1823;26809.9865;31606.1112;22823.2903;14.72;10.38;7.88;172.3026;"8343";"Obsluha jerabu, zdvihacich a podobnych manipulacnich zarizeni"
"8344 Obsluha vysokozdviznych a jinych voziku a skladnici";65.6665;22394.9594;15169.0693;18844.0687;26805.8277;33217.8608;23400.1279;17.6;4.53;6.77;172.9468;"8344";"Obsluha vysokozdviznych a jinych voziku a skladnici"
"9112 Uklizeci a pomocnici v hotelich, administrativnich, prumyslovych a jinych objektech";42.8665;12111.5;10048.1666;10617.4932;14808.0585;18134.6018;13355.6895;10.71;1.33;6.29;172.5417;"9112";"Uklizeci a pomocnici v hotelich, administrativnich, prumyslovych a jinych objektech"
"9311 Pomocni pracovnici v oblasti tezby";0.8079;22983.7067;17334.8713;19952.58;24877.4478;27864.6642;22808.7051;13.69;9.34;9.59;165.6418;"9311";"Pomocni pracovnici v oblasti tezby"
"9312 Figuranti, delnici vykopovych praci a delnici v oblasti vystavby inzenyrskych del";1.8351;23683.4205;16296.5926;18536.8469;28202.3702;33653.2865;24236.7323;22.91;3.52;8.03;181.3476;"9312";"Figuranti, delnici vykopovych praci a delnici v oblasti vystavby inzenyrskych del"
"9313 Delnici v oblasti vystavby budov";7.5481;13763.5165;10022.384;10286.4393;18178.7414;22565.5388;14989.2331;15.64;0.29;7.71;177.3654;"9313";"Delnici v oblasti vystavby budov"
"9321 Rucni balici, plnici a etiketovaci";6.1866;17200.2893;12073.5314;14189.3333;20527.3257;25681.5469;18237.8791;10.78;4.38;7.31;172.1731;"9321";"Rucni balici, plnici a etiketovaci"
"9329 Manipulacni a ostatni pomocni delnici ve vyrobe";54.8392;18123.0567;10949.0769;14034.244;22608.8124;27041.6798;18861.7046;14;4.96;6.88;172.1834;"9329";"Manipulacni a ostatni pomocni delnici ve vyrobe"
"9333 Pomocni manipulacni pracovnici (krome vyroby)";25.1447;18509.6884;12487.0388;15195.4235;22686.8445;27091.0195;19522.8187;13.88;3.92;7.48;173.2245;"9333";"Pomocni manipulacni pracovnici (krome vyroby)"
"9411 Pracovnici pro pripravu rychleho obcerstveni ";0.2296;14753.6982;10202.5108;12659.1666;18147.915;20002.5062;15332.0069;12.84;2.11;4.85;172.1042;"9411";"Pracovnici pro pripravu rychleho obcerstveni "
"9412 Pomocnici v kuchyni";2.9597;12465.4265;10025.4227;11125.7624;14434.6776;16727.1861;13034.6182;8.34;3.45;5.43;173.5652;"9412";"Pomocnici v kuchyni"
"9611 Pracovnici odvozu a recyklace odpadu";1.5719;18022.882;10870.273;15308.681;21602.2816;25436.4063;18461.2878;9.73;7.3;8.16;176.7019;"9611";"Pracovnici odvozu a recyklace odpadu"
