"Povolani";"Pocet_zamestnancu_v_tis";"Kc_mes_median";"Kc_mes_1_decil";"Kc_mes_1_kvartil";"Kc_mes_3_kvartil";"Kc_mes_9_decil";"Kc_mes_prumer";"odmeny_%";"priplatky_%";"nahrady_%";"hod_mes";"CZ_ISCO";"Kategorie_zamestnani_CZ_ISCO";"Dataset"
"169";"Mechanici A Opravari Zemedelskych, Prumyslovych A Jinych Stroju A Zarizeni";34.083;26013.0303;17443.822;21234.9318;31701.6877;38696.2731;27240.5248;17.34;5.86;7.37;174.386;"7233";"7233 Mechanici a opravari zemedelskych, prumyslovych a jinych stroju a zarizeni";"Soukroma_sfera"
"175";"Elektromechanici";30.9086;26280.4543;17078.1519;21125.7661;32602.4161;39405.5752;27481.7864;15.49;7.09;7.71;172.4417;"7412";"7412 Elektromechanici";"Soukroma_sfera"
"135";"Kuchari (krome Sefkucharu), Pomocni Kuchari";30.6405;12459.8736;10007.4109;10949.4242;16969.2505;22597.8888;14836.2741;7.61;1.91;6.65;174.0153;"5120";"5120 Kuchari (krome sefkucharu), pomocni kuchari";"Soukroma_sfera"
"127";"Urednici Ve Skladech";29.3891;22306.3807;15088.5178;18047.5333;27605.2693;33908.8911;23773.6981;17.29;2.97;7.3;173.2981;"4321";"4321 urednici ve skladech";"Soukroma_sfera"
"136";"Cisnici A Servirky";28.6411;11279.4896;9938.6039;10542.0654;13802.8142;19205.0133;12999.3937;4.71;0.88;7.67;174.7887;"5131";"5131 cisnici a servirky";"Soukroma_sfera"
"369";"Odborni Pracovnici V Administrative A Sprave Organizace";27.5789;26461.2298;19836.5;22725.5619;31102.2855;37549.9641;27817.4851;6.4;16.13;6.76;173.3415;"3343";"3343 Odborni pracovnici v administrative a sprave organizace";"Verejna_sfera"
"195";"Obsluha Stroju Na Vyrobu A Zpracovani Vyrobku Z Plastu";27.5238;21135.5767;14723.0693;17277.5477;25006.624;30887.755;21894.9769;16.57;5.46;6.73;170.4665;"8142";"8142 Obsluha stroju na vyrobu a zpracovani vyrobku z plastu";"Soukroma_sfera"
"167";"Mechanici A Opravari Motorovych Vozidel";27.5199;21229.074;10607.022;13646.472;27554.1289;36434.734;22207.0381;19.34;1.6;6.86;175.966;"7231";"7231 Mechanici a opravari motorovych vozidel";"Soukroma_sfera"
"190";"Obsluha Zarizeni Na Zpracovani Kovu";25.6214;25236.6197;16890.934;20837.1257;30274.2558;35349.026;25995.5464;16.14;11.74;6.95;171.0195;"8121";"8121 Obsluha zarizeni na zpracovani kovu ";"Soukroma_sfera"
"67";"Stavebni Technici";25.1865;25518.8806;13137.5037;18930.4056;33532.2814;43798.1698;27954.9614;15.24;1.47;6.98;172.9831;"3112";"3112 Stavebni technici";"Soukroma_sfera"
"226";"Pomocni Manipulacni Pracovnici (krome Vyroby)";25.1447;18509.6884;12487.0388;15195.4235;22686.8445;27091.0195;19522.8187;13.88;3.92;7.48;173.2245;"9333";"9333 Pomocni manipulacni pracovnici (krome vyroby)";"Soukroma_sfera"
"129";"Pracovnici V Doprave A Preprave";25.1088;30737.3023;14973.4569;23240.6114;35558.1904;41263.9979;29936.8241;11.06;6.83;7.48;170.5279;"4323";"4323 Pracovnici v doprave a preprave";"Soukroma_sfera"
"471";"Uklizeci A Pomocnici V Hotelich, Administrativnich, Prumyslovych A Jinych Objektech";24.3198;12501.8333;11017.0566;11644.6666;13868.6666;15733.3333;13074.1321;3.18;7.54;4.18;173.9127;"9112";"9112 Uklizeci a pomocnici v hotelich, administrativnich, prumyslovych a jinych objektech";"Verejna_sfera"
"294";"Ucitele Na 1. Stupni Zakladnich Skol";23.5231;27793.8625;23834.2082;25535.9608;29720.0297;31512.8484;27840.1415;2.41;6.53;3.78;173.9099;"2341";"2341 Ucitele na 1. stupni zakladnich skol ";"Verejna_sfera"
"295";"Ucitele V Oblasti Predskolni Vychovy";22.0191;23330.1625;20898.0061;21864.1211;24549.2427;26258.9769;23479.0117;2.22;3.44;4.52;173.5922;"2342";"2342 Ucitele v oblasti predskolni vychovy";"Verejna_sfera"
"141";"Vedouci Pracovnich Tymu V Prodejnach";21.5292;24099.1732;13735.0557;17172.7935;32892.6521;45341.9007;27620.4907;15.94;4.9;6.73;175.063;"5222";"5222 Vedouci pracovnich tymu v prodejnach";"Soukroma_sfera"
"160";"Svareci, Rezaci Plamenem A Pajeci";21.45;26695.834;17584.9275;22209.3112;32937.1713;38956.6535;27722.4992;17.96;4.9;7.91;173.6654;"7212";"7212 Svareci, rezaci plamenem a pajeci";"Soukroma_sfera"
"115";"Sekretari (vseobecni)";20.8074;20620.8958;11861.3812;15517.4489;26997.34;34862.16;22756.6034;12.38;0.94;6.94;173.0315;"4120";"4120 Sekretari (vseobecni)";"Soukroma_sfera"
"352";"Vseobecne Sestry Bez Specializace";20.1265;30780.8262;24748.4705;27473.0764;34561.9594;38808.237;31415.5097;2.6;18.64;6.82;170.7276;"3221";"3221 Vseobecne sestry bez specializace";"Verejna_sfera"
"415";"Kuchari (krome Sefkucharu), Pomocni Kuchari";20.0467;14809.1666;12428.3333;13430;16796.4066;19537.9688;15519.9621;3.74;8.12;3.44;173.8527;"5120";"5120 Kuchari (krome sefkucharu), pomocni kuchari";"Verejna_sfera"
"9";"Ridici Pracovnici V Prumyslove Vyrobe";19.8071;51764.5081;19974.4944;32460.8428;79836.299;128472.8155;68648.6997;24.22;1.46;5.52;170.3187;"1321";"1321 ridici pracovnici v prumyslove vyrobe";"Soukroma_sfera"
"73";"Technici V Ostatnich Oborech (textilni, Kozedelny, Polygraficky, Drevarsky Apod.)";19.7022;29907.5379;17896.1723;22784.3054;38616.6352;49633.5135;32671.6225;17.52;2.15;6.49;171.0124;"3119";"3119 Technici v ostatnich oborech (textilni, kozedelny, polygraficky, drevarsky apod.)";"Soukroma_sfera"
"207";"Obsluha Stacionarnich Stroju A Zarizeni Jinde Neuvedena";18.9661;24881.377;16109.0199;20522.177;30562.0719;37970.9698;26120.4947;15.9;10.52;6.78;169.7595;"8189";"8189 Obsluha stacionarnich stroju a zarizeni jinde neuvedena";"Soukroma_sfera"
"40";"Ucitele Na Vysokych A Vyssich Odbornych Skolach";18.394;34220.2177;22665.5348;27415.5657;46196.8573;64052.5877;40384.3949;26.61;4.2;6.64;173.1138;"2310";"2310 Ucitele na vysokych a vyssich odbornych skolach";"Soukroma_sfera"
"28";"Strojni Inzenyri";18.3428;43122.5208;25729.5416;33281.6206;56378.9448;65385.1363;45941.8128;17.04;1.63;5.64;170.0077;"2144";"2144 Strojni inzenyri";"Soukroma_sfera"
"68";"Elektrotechnici A Technici Energetici";18.0858;33282.0452;19321.3508;24420.0899;44194.3951;54551.9179;35765.0593;17.15;4.88;6.58;170.4568;"3113";"3113 Elektrotechnici a technici energetici";"Soukroma_sfera"
"186";"Kvalitari A Testovaci Vyrobku, Laboranti (krome Potravin A Napoju)";17.3969;23841.0084;15533.6052;19182.8828;29834.1584;36285.6824;25262.134;15.93;6.97;6.78;170.4289;"7543";"7543 Kvalitari a testovaci vyrobku, laboranti (krome potravin a napoju)";"Soukroma_sfera"
"201";"Obsluha Stroju Na Vyrobu Potravin A Pribuznych Vyrobku";17.2128;20557.1597;13963;17081.8826;24753.3933;29110.2361;21296.7611;15.32;4.52;8.28;174.5385;"8160";"8160 Obsluha stroju na vyrobu potravin a pribuznych vyrobku";"Soukroma_sfera"
"5";"Ridici Pracovnici V Oblasti Obchodu, Marketingu A V Pribuznych Oblastech";17.1181;50456.8328;17774.9165;27752.3416;90618.2629;155856.3826;74048.8515;24.65;1.16;5.9;171.7808;"1221";"1221 ridici pracovnici v oblasti obchodu, marketingu a v pribuznych oblastech ";"Soukroma_sfera"
"156";"Ostatni Remeslnici A Kvalifikovani Pracovnici Hlavni Stavebni Vyroby";17.0787;19656.2248;11406.7679;16052.5906;23990.8468;29399.096;20648.6847;13.88;2.03;8.61;178.1799;"7119";"7119 Ostatni remeslnici a kvalifikovani pracovnici hlavni stavebni vyroby";"Soukroma_sfera"
"154";"Zednici, Kamnari, Dlazdici A Monteri Suchych Staveb";17.0581;18058.4169;11361.5292;14800.1446;21450.8916;24902.1337;18359.5962;13.1;1.44;8.95;177.8604;"7112";"7112 Zednici, kamnari, dlazdici a monteri suchych staveb";"Soukroma_sfera"
"98";"Nakupci";16.6713;29396.2575;16541.5025;22020.8533;37921.487;52363.387;33081.6225;17.04;1.29;6.45;170.7565;"3323";"3323 Nakupci";"Soukroma_sfera"
"19";"Ridici Pracovnici V Maloobchode A Velkoobchode";16.2043;27983.3253;11933.7005;19596.9395;45895.4035;70764.7382;39072.5312;18.93;2.28;6.93;173.477;"1420";"1420 ridici pracovnici v maloobchode a velkoobchode";"Soukroma_sfera"
"41";"Specialiste V Oblasti Ucetnictvi";15.8661;36529.5421;20795.1347;27188.0439;54661.7406;80506.1684;46538.7726;16.09;0.93;5.94;171.5971;"2411";"2411 Specialiste v oblasti ucetnictvi";"Soukroma_sfera"
"214";"Ridici Autobusu, Trolejbusu A Tramvaji";15.7461;26558.9014;20975.3762;23361.8729;33650.0907;36587.9599;27765.1648;8.8;15.91;7.54;188.1348;"8331";"8331 ridici autobusu, trolejbusu a tramvaji";"Soukroma_sfera"
"51";"Programatori Pocitacovych Aplikaci Specialiste";15.502;45010.4985;26129.1309;33830.7208;62789.6692;85113.0852;52491.6267;16.19;3.13;6.02;173.5476;"2514";"2514 Programatori pocitacovych aplikaci specialiste";"Soukroma_sfera"
"429";"Osetrovatele A Pracovnici V Socialnich Sluzbach V Oblasti Pobytove Pece";15.3286;19371.9152;15685.6912;17432.2684;21352.8576;23644.5731;19625.9337;3.7;19.85;8.2;167.3393;"5321";"5321 Osetrovatele a pracovnici v socialnich sluzbach v oblasti pobytove pece";"Verejna_sfera"
"360";"Odborni Pracovnici V Oblasti Ucetnictvi, Ekonomiky A Personalistiky";15.2473;26350.3444;20354.6103;23046.1289;30325.3503;35202.4631;27296.4552;6.46;15.53;6.48;173.9501;"3313";"3313 Odborni pracovnici v oblasti ucetnictvi, ekonomiky a personalistiky";"Verejna_sfera"
"216";"Ridici A Obsluha Zemedelskych A Lesnickych Stroju";15.1176;21176.9054;15073.5787;17680.96;24319.8183;27085.8603;21354.6685;16.06;0.55;9.41;185.6652;"8341";"8341 ridici a obsluha zemedelskych a lesnickych stroju";"Soukroma_sfera"
"143";"Pokladnici A Prodavaci Vstupenek A Jizdenek";14.8315;17702.4484;12003.18;14559.0096;21849.3703;25775.5499;18495.4712;9.6;7.74;7.53;171.2143;"5230";"5230 Pokladnici a prodavaci vstupenek a jizdenek";"Soukroma_sfera"
"213";"Ridici Osobnich A Malych Dodavkovych Automobilu, Taxikari";13.9481;19151.8931;11017.6271;13513.1374;23850.6112;28599.1621;19688.9193;13.98;2.36;6.68;175.4449;"8322";"8322 ridici osobnich a malych dodavkovych automobilu, taxikari ";"Soukroma_sfera"
"152";"Chovatele Hospodarskych Zvirat (krome Drubeze)";13.742;20657.8809;12566.2152;17475.5853;24623.6076;28985.059;21111.6343;16.05;1.07;8.09;181.4786;"6121";"6121 Chovatele hospodarskych zvirat (krome drubeze)";"Soukroma_sfera"
"305";"Specialiste V Oblasti Strategie A Politiky Organizaci";13.7275;36387.7979;23561.4272;28600.9992;43576.949;51958.1385;37326.0275;9.61;20.97;6.67;174.0059;"2422";"2422 Specialiste v oblasti strategie a politiky organizaci";"Verejna_sfera"
"130";"Pracovnici Postovniho Provozu (krome Uredniku Na Prepazkach)";13.2814;18229.4312;16141.6814;17008.9588;20284.4676;23170.1157;19115.5848;14.75;2.57;7.65;162.6773;"4412";"4412 Pracovnici postovniho provozu (krome uredniku na prepazkach)";"Soukroma_sfera"
"182";"Truhlari (krome Stavebnich) A Pracovnici V Pribuznych Oborech";13.2266;15811.5427;10805.6922;12074.2776;19403.6762;23600.7731;16528.4558;13.01;0.81;8.28;174.6978;"7522";"7522 Truhlari (krome stavebnich) a pracovnici v pribuznych oborech";"Soukroma_sfera"
"204";"Obsluha Stroju A Zarizeni Na Vyrobu Skla, Keramiky A Stavebnin";12.941;27512.9156;18238.3876;22524.8012;32937.2064;36815.0532;27869.5581;17.63;9.27;7.81;168.15;"8181";"8181 Obsluha stroju a zarizeni na vyrobu skla, keramiky a stavebnin";"Soukroma_sfera"
"109";"Technici Provozu ICT, Technici Programatori";12.8417;30894.6717;13513.8912;20711.3466;46035.2302;70654.8853;37836.647;16.79;4.11;5.76;173.8419;"3511";"3511 Technici provozu ICT, technici programatori";"Soukroma_sfera"
"47";"Specialiste V Oblasti Reklamy A Marketingu, Pruzkumu Trhu";12.7687;37676.454;20486.2911;26968.8664;55388.359;85284.88;48717.6304;17.14;0.92;6.81;171.8041;"2431";"2431 Specialiste v oblasti reklamy a marketingu, pruzkumu trhu";"Soukroma_sfera"
"26";"Specialiste V Oblasti Prumysloveho Inzenyrstvi A V Pribuznych Oblastech";12.6997;37906.0704;25055.687;30741.7046;50863.315;72098.4885;45826.1086;15.01;1.9;6.75;169.6411;"2141";"2141 Specialiste v oblasti prumysloveho inzenyrstvi a v pribuznych oblastech";"Soukroma_sfera"
"93";"Odborni Pracovnici V Oblasti Peneznictvi";12.6479;35175.0467;23593.3426;28715.5375;46113.3405;63476.6302;41249.603;22.88;3.73;6.67;172.0204;"3312";"3312 Odborni pracovnici v oblasti peneznictvi";"Soukroma_sfera"
"157";"Instalateri, Potrubari, Stavebni Zamecnici A Stavebni Klempiri";12.5869;23300.8115;14390.4038;19291.9531;27089.1367;30567.3195;23354.1366;15.78;4.06;7.99;172.539;"7126";"7126 Instalateri, potrubari, stavebni zamecnici a stavebni klempiri";"Soukroma_sfera"
"119";"Pracovnici V Zakaznickych Kontaktnich Centrech";12.3709;25248.1116;16997.4246;19889.931;31925.5046;39852.7683;27911.1167;14.63;3.03;7.5;171.418;"4222";"4222 Pracovnici v zakaznickych kontaktnich centrech";"Soukroma_sfera"
"292";"Ucitele Odbor. Predmetu,praktickeho Vyucovani,lektori (kr.zaku Se Spec.vzdel.potreb.)";12.2897;27295.6284;23335.4052;24868.2344;30056.4521;32974.882;27882.1855;2.18;8.67;4.42;174.2574;"2320";"2320 Ucitele odbor. predmetu,praktickeho vyucovani,lektori (kr.zaku se spec.vzdel.potreb.)";"Verejna_sfera"
"36";"Lekari Specialiste";11.915;45292.2961;17640.5003;28167.785;61715.5574;83744.9298;49261.4458;16.85;7.44;6.42;178.184;"2212";"2212 Lekari specialiste";"Soukroma_sfera"
"431";"Pracovnici Osobni Pece Ve Zdravotni A Socialni Oblasti Jinde Neuvedeni";11.861;20127.5486;15592.5;17492.2152;24124.0123;28874.4089;21289.889;2.47;20.58;7.24;172.5651;"5329";"5329 Pracovnici osobni pece ve zdravotni a socialni oblasti jinde neuvedeni";"Verejna_sfera"
"138";"Vedouci Provozu Stravovacich, Ubytovacich A Dalsich Zarizeni";11.7695;16676.1788;10680.9317;12494.864;24233.7903;32415.3026;20114.4963;10.45;1.13;5.62;172.4801;"5151";"5151 Vedouci provozu stravovacich, ubytovacich a dalsich zarizeni";"Soukroma_sfera"
"372";"Pracovnici Verejne Spravy V Oblasti Dani";11.7544;27999.9437;22700.6211;25420.0478;31216.3493;34910.4289;28529.0968;4.9;16.15;6.13;173.5099;"3352";"3352 Pracovnici verejne spravy v oblasti dani";"Verejna_sfera"
"281";"Vseobecne Sestry Se Specializaci";11.6051;34718.245;27484.9822;30638.0779;39607.4826;44874.7638;35593.9795;3.24;21.05;6.51;172.9103;"2221";"2221 Vseobecne sestry se specializaci";"Verejna_sfera"
"192";"Obsluha Stroju A Zarizeni Pro Chemickou Vyrobu";11.4352;25276.7153;17445.2543;20168.4358;29821.2241;35692.342;25997.8965;15.68;12.27;7.48;167.0846;"8131";"8131 Obsluha stroju a zarizeni pro chemickou vyrobu";"Soukroma_sfera"
"117";"Pokladnici Ve Financnich Institucich, Na Postach A Pracovnici V Pribuznych Oborech";11.2515;22128.4137;17970.1042;20415.5502;24506.5401;27340.496;22453.3661;19.19;2.26;7.23;164.7484;"4211";"4211 Pokladnici ve financnich institucich, na postach a pracovnici v pribuznych oborech";"Soukroma_sfera"
"27";"Stavebni Inzenyri";11.2202;31091.0464;19021.7185;24667.0152;44197.1048;62556.9433;37576.1566;18.29;1.3;6.93;172.8488;"2142";"2142 Stavebni inzenyri";"Soukroma_sfera"
"300";"Specialni Pedagogove, Vychovatele (kr.spec.vzdel.potreb), Ostatni Pedagogove";11.0934;24172.0248;20870.4246;22352.0469;26569.1293;30580.0662;25033.4892;2.55;7.54;4.77;174.0182;"2359";"2359 Specialni pedagogove, vychovatele (kr.spec.vzdel.potreb), ostatni pedagogove";"Verejna_sfera"
"484";"Uklizeci Verejnych Prostranstvi, Cistici Kanalizaci A Pribuzni Pracovnici";10.4854;11760.905;9964.3333;10382.4544;15514.4476;20035.6666;13541.2203;4.34;8.71;6.41;174.2348;"9613";"9613 Uklizeci verejnych prostranstvi, cistici kanalizaci a pribuzni pracovnici";"Verejna_sfera"
"217";"Obsluha Zeleznicnich, Zemnich A Pribuznych Stroju A Zarizeni";10.355;24557.6607;17743.875;21095.6397;28634.9197;34540.7711;25409.3374;19.89;4.21;9.07;179.2799;"8342";"8342 Obsluha zeleznicnich, zemnich a pribuznych stroju a zarizeni";"Soukroma_sfera"
"194";"Obsluha Stroju Na Vyrobu A Zpracovani Vyrobku Z Pryze";10.31;26922.8026;18692.648;21639.4855;34800.4541;40252.3414;28401.317;19.67;10.79;7.64;171.9703;"8141";"8141 Obsluha stroju na vyrobu a zpracovani vyrobku z pryze";"Soukroma_sfera"
"54";"Systemovi Administratori, Spravci Pocitacovych Siti";10.2867;44739.106;26276.0667;33925.7091;63559.8803;82300.2289;51252.305;13.31;4.54;6.01;175.2956;"2522";"2522 Systemovi administratori, spravci pocitacovych siti ";"Soukroma_sfera"
"177";"Mechanici A Opravari Elektronickych Pristroju";10.2604;27882.1106;17550.389;22263.2667;35145.9375;44697.2242;29474.7516;15.92;6.1;6.74;172.8889;"7421";"7421 Mechanici a opravari elektronickych pristroju";"Soukroma_sfera"
"44";"Specialiste V Oblasti Strategie A Politiky Organizaci";10.0921;38015.9095;17192.4501;26217.5754;60002.0495;93295.4235;49894.8592;18.73;2.25;6.29;172.1417;"2422";"2422 Specialiste v oblasti strategie a politiky organizaci";"Soukroma_sfera"
"43";"Financni Analytici A Specialiste V Peneznictvi A Pojistovnictvi";10.054;45816.2345;25711.0952;33321.4576;64979.293;96974.7541;56297.0149;19.13;1.87;6.67;172.6688;"2413";"2413 Financni analytici a specialiste v peneznictvi a pojistovnictvi";"Soukroma_sfera"
"11";"Ridici Pracovnici Ve Stavebnictvi A Zememerictvi";9.9751;37410.627;17296.863;25777.9075;51624.8491;82776.7416;46400.3818;24;1.24;6.75;173.7817;"1323";"1323 ridici pracovnici ve stavebnictvi a zememerictvi";"Soukroma_sfera"
"1";"Nejvyssi Predstavitele Spolecnosti (kr.politickych,zajmovych A Pribuznych Organizaci)";9.6787;50791.0988;19983.6037;29886.6417;104059.1329;223018.2585;99313.4613;27.81;0.78;5.55;171.6382;"1120";"1120 Nejvyssi predstavitele spolecnosti (kr.politickych,zajmovych a pribuznych organizaci)";"Soukroma_sfera"
"110";"Technici Uzivatelske Podpory Informacnich A Komunikacnich Technologii";9.5432;35484.5318;17986.815;25656.7346;46685.7948;67608.7177;40310.7939;10.62;3.61;6.44;172.692;"3512";"3512 Technici uzivatelske podpory informacnich a komunikacnich technologii";"Soukroma_sfera"
"71";"Technici V Chemickem Inzenyrstvi A Prib.oborech (gumar.,plastik.,potrav.,vodar.apod.)";9.523;28272.0409;18714.0771;21670.5218;36777.2472;47280.7962;31213.8129;17.8;2.65;6.39;169.7902;"3116";"3116 Technici v chemickem inzenyrstvi a prib.oborech (gumar.,plastik.,potrav.,vodar.apod.)";"Soukroma_sfera"
"99";"Odbytovi A Prepravni Agenti, Celni Deklaranti";9.4434;31427.2202;19530.7686;24518.103;40905.1698;53084.8751;35494.6351;19.04;2;6.48;171.0498;"3331";"3331 Odbytovi a prepravni agenti, celni deklaranti";"Soukroma_sfera"
"373";"Pracovnici Verejne Spravy V Oblasti Socialnich A Jinych Davek";9.3468;23750.3205;18756.3852;21093.3885;26372.618;31556.7457;24512.1785;4.4;10.47;4.75;176.1554;"3353";"3353 Pracovnici verejne spravy v oblasti socialnich a jinych davek";"Verejna_sfera"
"413";"Urednici Spravy Skolstvi,kultury,zdravotnictvi,vnitrnich Veci Statu A Ostatni Urednici";9.3046;28275.4976;20700.7135;24231.9915;33901.2381;41980.3341;30587.6395;9.52;16.45;6.29;173.9496;"4419";"4419 urednici spravy skolstvi,kultury,zdravotnictvi,vnitrnich veci statu a ostatni urednici";"Verejna_sfera"
"12";"Ridici Pracovnici V Doprave, Logistice A Pribuznych Oborech";9.2714;46752.2197;23053.3081;33013.1208;70250.8508;109971.1094;60045.9666;20.4;1.47;7.23;170.2072;"1324";"1324 ridici pracovnici v doprave, logistice a pribuznych oborech";"Soukroma_sfera"
"421";"Spravci Objektu";9.2482;15786.5082;12400;13465.6206;18798.8977;22113.6328;16657.249;3.89;10.18;3.95;174.1633;"5153";"5153 Spravci objektu";"Verejna_sfera"
"144";"Obsluha Cerpacich Stanic A Mycich Linek Dopravnich Prostredku";9.2344;14057.8761;10323.3087;11655.6385;16490.4951;19050.417;14692.8347;10.48;1.09;6.92;179.2773;"5245";"5245 Obsluha cerpacich stanic a mycich linek dopravnich prostredku";"Soukroma_sfera"
