"Povolani";"Pocet_zamestnancu_v_tis";"Kc_mes_median";"Kc_mes_1_decil";"Kc_mes_1_kvartil";"Kc_mes_3_kvartil";"Kc_mes_9_decil";"Kc_mes_prumer";"odmeny_%";"priplatky_%";"nahrady_%";"hod_mes";"CZ_ISCO";"Kategorie_zamestnani_CZ_ISCO";"Dataset"
"280";"Lekari Specialiste";9.1594;65383.7425;37812.9845;49597.3606;85892.2643;104599.2447;69349.0626;9.92;25.74;5.8;190.3622;"2212";"2212 Lekari specialiste";"Verejna_sfera"
"148";"Pracovnici Osobni Pece Ve Zdravotni A Socialni Oblasti Jinde Neuvedeni";9.15;16456.0252;13060.2311;14578.9869;18687.9708;21784.5138;17099.4538;9.26;7.83;6.75;172.1381;"5329";"5329 Pracovnici osobni pece ve zdravotni a socialni oblasti jinde neuvedeni";"Soukroma_sfera"
"256";"Ridici Pracovnici V Oblasti Vzdelavani";9.0021;42426.9607;33373.017;37237.6445;49659.1884;56597.703;43970.3176;5.78;28.2;5.69;173.8487;"1345";"1345 ridici pracovnici v oblasti vzdelavani";"Verejna_sfera"
"32";"Inzenyri Elektrotechnici A Energetici";8.9639;41441.4294;25260.0244;31141.6097;55097.6068;75007.4517;46879.7136;15.94;3.75;6.7;169.6176;"2151";"2151 Inzenyri elektrotechnici a energetici ";"Soukroma_sfera"
"378";"Odborni Pracovnici V Oblasti Socialni Prace";8.8675;22795.7507;17421.9173;19774.9603;26720.9681;30622.4234;23521.048;4.59;16.55;6.57;173.1715;"3412";"3412 Odborni pracovnici v oblasti socialni prace";"Verejna_sfera"
"236";"Zamestnanci V Ozbrojenych Silach (kr.generalu,dustojniku,poddustojniku)";8.6;30571.4324;11500;22414.3691;33236.4781;35821.5671;28020.0917;0.15;4.9;0.02;173.305;"0310";"0310 Zamestnanci v ozbrojenych silach (kr.generalu,dustojniku,poddustojniku)";"Verejna_sfera"
"102";"Vedouci V Oblasti Administrativnich Agend";8.5987;33363.7701;21986.3004;26242.8385;47138.6717;69455.4622;42119.1648;19.51;2.29;6.75;171.1718;"3341";"3341 Vedouci v oblasti administrativnich agend";"Soukroma_sfera"
"391";"Vseobecni Administrativni Pracovnici";8.5371;23157.0006;16728.1666;19406.9032;28039.2799;34090.3452;24433.3723;6.89;14.23;6.16;173.6815;"4110";"4110 Vseobecni administrativni pracovnici";"Verejna_sfera"
"432";"Prislusnici HZS CR A Hasici Ostatnich Jednotek Pozarni Ochrany";8.3656;33888.2798;27416.5176;29994.8961;38784.2935;43846.1352;34911.872;3.38;24.24;8.92;165.4523;"5411";"5411 Prislusnici HZS cR a hasici ostatnich jednotek pozarni ochrany";"Verejna_sfera"
"2";"Ridici Pracovnici V Oblasti Financi (krome Financnich A Pojistovacich Sluzeb)";8.2104;61428.4008;27814.8413;37731.4581;103263.6517;175571.9215;87311.0535;23.79;0.99;6;171.2075;"1211";"1211 ridici pracovnici v oblasti financi (krome financnich a pojistovacich sluzeb)";"Soukroma_sfera"
"80";"Technici V Oblasti Zemedelstvi, Rybarstvi A Vodohospodarstvi";8.0512;26147.1895;18031.5445;22211.6106;30777.452;37633.003;27349.3353;15.86;0.72;7.28;174.5611;"3142";"3142 Technici v oblasti zemedelstvi, rybarstvi a vodohospodarstvi";"Soukroma_sfera"
"69";"Technici Elektronici";7.9911;33159.8676;19993.9558;26410.8568;43707.8852;55298.3371;36807.4974;17.4;2.22;6.34;172.6676;"3114";"3114 Technici elektronici";"Soukroma_sfera"
"50";"Vyvojari Softwaru";7.9383;50833.2328;30080.6295;38577.0413;74423.4095;102818.2637;60630.401;12.73;1.48;6.01;173.7315;"2512";"2512 Vyvojari softwaru";"Soukroma_sfera"
"235";"Poddustojnici V Ozbrojenych Silach";7.9108;23143.4625;21461.8538;22084.5152;25774.099;28260.743;24019.6672;0.07;4.61;0;173.3058;"0210";"0210 Poddustojnici v ozbrojenych silach";"Verejna_sfera"
"76";"Mistri A Pribuzni Pracovnici Ve Stavebnictvi";7.8606;24310.0084;14604.2311;18853.0873;34827.2081;44200.8084;27973.3954;15.55;1.49;7.03;174.9863;"3123";"3123 Mistri a pribuzni pracovnici ve stavebnictvi";"Soukroma_sfera"
"433";"Policiste";7.6327;31000.3538;22479.8046;26935.4938;35972.6068;41234.9955;31624.4387;3.99;33.09;6;169.7011;"5412";"5412 Policiste";"Verejna_sfera"
"223";"Delnici V Oblasti Vystavby Budov";7.5481;13763.5165;10022.384;10286.4393;18178.7414;22565.5388;14989.2331;15.64;0.29;7.71;177.3654;"9313";"9313 Delnici v oblasti vystavby budov";"Soukroma_sfera"
"37";"Vseobecne Sestry Se Specializaci";7.5332;29423.7178;21902.5329;25615.058;33276.9651;38198.2107;30164.9129;10.49;12.08;6.45;171.373;"2221";"2221 Vseobecne sestry se specializaci";"Soukroma_sfera"
"174";"Stavebni A Provozni Elektrikari";7.3648;24155.6051;16036.9613;19737.9056;29826.7833;36660.6764;25456.1293;15.67;5.31;7.83;175.626;"7411";"7411 Stavebni a provozni elektrikari";"Soukroma_sfera"
"179";"Pekari, Cukrari (krome Sefcukraru) A Vyrobci Cukrovinek";7.2889;15839.2326;11237.6666;12399.0057;18411.5139;21904.0871;16172.3096;10.57;4.93;7.63;175.0462;"7512";"7512 Pekari, cukrari (krome sefcukraru) a vyrobci cukrovinek ";"Soukroma_sfera"
"212";"Signalisti, Brzdari, Vyhybkari, Posunovaci A Pribuzni Pracovnici";7.2296;26464.1943;21639.4415;24202.7708;29172.8355;32138.8402;26858.9752;9.15;12.66;9.61;165.4465;"8312";"8312 Signalisti, brzdari, vyhybkari, posunovaci a pribuzni pracovnici";"Soukroma_sfera"
"211";"Strojvedouci A Ridici Kolejovych Motorovych Voziku";7.1602;36733.2563;28323.8696;34155.7432;39921.7285;44402.2911;36790.0744;9.36;16.44;10.38;169.4183;"8311";"8311 Strojvedouci a ridici kolejovych motorovych voziku";"Soukroma_sfera"
"187";"Obsluha Dulnich Zarizeni (vcetne Horniku)";7.0892;31192.3818;17315.6392;26547.5317;36670.0845;42335.2157;31133.0296;17.78;11.25;12.23;167.8217;"8111";"8111 Obsluha dulnich zarizeni (vcetne horniku)";"Soukroma_sfera"
"4";"Ostatni Ridici Pracovnici Spravy Podniku, Administrativnich A Podpurnych Cinnosti";7.0189;51198.3278;24338.8874;34749.2814;80138.957;122706.442;67390.9734;23.52;1.71;6.06;170.6934;"1219";"1219 Ostatni ridici pracovnici spravy podniku, administrativnich a podpurnych cinnosti ";"Soukroma_sfera"
"128";"Urednici Ve Vyrobe";6.9721;26850.6522;16891.0149;20839.214;35286.3378;43755.3157;29465.4846;15.33;2.42;6.5;170.9508;"4322";"4322 urednici ve vyrobe";"Soukroma_sfera"
"49";"Systemovi Analytici";6.8817;56412.4232;30249.6523;40703.2384;82815.4133;112600.0991;66171.3822;16.96;3.68;5.83;172.0764;"2511";"2511 Systemovi analytici";"Soukroma_sfera"
"20";"Ridici Pracovnici Cestovnich Kancelari,nemovitosti,opravarenskych,osobnich Aj. Sluzeb";6.8742;27044.5804;11964.5219;21716.2797;36631.506;56277.4994;32896.0541;13.45;0.27;7.17;177.4281;"1439";"1439 ridici pracovnici cestovnich kancelari,nemovitosti,opravarenskych,osobnich aj. sluzeb";"Soukroma_sfera"
"158";"Lakyrnici A Nateraci (krome Stavebnich)";6.4605;26318.6755;16169.2448;20675.6597;32512.3792;41865.3499;27409.4103;17.97;5.04;6.71;173.8945;"7132";"7132 Lakyrnici a nateraci (krome stavebnich)";"Soukroma_sfera"
"224";"Rucni Balici, Plnici A Etiketovaci";6.1866;17200.2893;12073.5314;14189.3333;20527.3257;25681.5469;18237.8791;10.78;4.38;7.31;172.1731;"9321";"9321 Rucni balici, plnici a etiketovaci";"Soukroma_sfera"
"139";"Spravci Objektu";6.1016;19362.6847;10590.3127;12941.7446;25251.1352;33903.3805;20871.8214;10.35;0.97;6.46;173.7511;"5153";"5153 Spravci objektu";"Soukroma_sfera"
"146";"Osetrovatele A Pracovnici V Socialnich Sluzbach V Oblasti Pobytove Pece";6.0174;17945.4326;14890.1505;16038.1328;20572.0095;22111.782;18482.9362;8.83;6.4;6.65;168.8195;"5321";"5321 Osetrovatele a pracovnici v socialnich sluzbach v oblasti pobytove pece";"Soukroma_sfera"
"13";"Ridici Pracovnici V Oblasti Informacnich A Komunikacnich Technologii";5.9654;61505.1794;14649.9143;33687.2956;102356.4103;162858.0025;79965.9009;20.54;2.77;5.57;172.398;"1330";"1330 ridici pracovnici v oblasti informacnich a komunikacnich technologii";"Soukroma_sfera"
"161";"Pracovnici Na Zpracovani Plechu";5.8415;25091.3946;12956.1233;19417.1036;34847.5916;42729.6853;26952.5265;18.45;4.21;6.2;172.2936;"7213";"7213 Pracovnici na zpracovani plechu ";"Soukroma_sfera"
"234";"Generalove A Dustojnici V Ozbrojenych Silach";5.6423;41718.8258;33287.5986;36118.6118;48371.6153;53176.0214;43336.9715;0.45;4.22;0.01;173.2945;"0110";"0110 Generalove a dustojnici v ozbrojenych silach";"Verejna_sfera"
"96";"Odborni Pracovnici V Oblasti Pojistovnictvi";5.5773;29602.7696;20435.2695;24721.7351;36062.5803;47173.8218;32900.1033;22.97;1.53;6.74;169.8163;"3321";"3321 Odborni pracovnici v oblasti pojistovnictvi";"Soukroma_sfera"
"123";"Recepcni (krome Recepcnich V Hotelich A Dalsich Ubytovacich Zarizenich)";5.5295;19143.2598;11961.0812;15176.9132;23738.466;28098.2984;19990.7218;11.57;1.64;6.66;175.0495;"4226";"4226 Recepcni (krome recepcnich v hotelich a dalsich ubytovacich zarizenich)";"Soukroma_sfera"
"42";"Financni A Investicni Poradci A Pribuzni Specialiste";5.514;48496.7323;29737.2464;36899.1349;78710.9846;134429.915;70691.3586;30.23;1.21;6.46;172.7581;"2412";"2412 Financni a investicni poradci a pribuzni specialiste";"Soukroma_sfera"
"38";"Farmaceuti";5.0585;39832.5296;23055.3793;28913.7308;48711.5353;57752.7492;40500.1909;17.49;1.46;7.01;175.6977;"2262";"2262 Farmaceuti";"Soukroma_sfera"
"155";"Tesari A Stavebni Truhlari";5.0338;18851.1261;14833.7819;17452.6502;23661.5682;28279.6096;20535.2812;12.74;1.54;8.82;178.3327;"7115";"7115 Tesari a stavebni truhlari";"Soukroma_sfera"
"184";"Svadleny, Sicky, Vysivaci A Pracovnici V Pribuznych Oborech";4.9855;14065.5;10528.0355;11870.8888;17362.3307;20550.4708;15020.4549;17.17;1.4;7.85;172.1326;"7533";"7533 svadleny, sicky, vysivaci a pracovnici v pribuznych oborech";"Soukroma_sfera"
"63";"Redaktori, Novinari A Pribuzni Pracovnici";4.823;27995.6607;14625.5648;19995.226;37378.0644;49715.4502;31601.4816;7.16;3.87;6.43;172.5031;"2642";"2642 Redaktori, novinari a pribuzni pracovnici";"Soukroma_sfera"
"178";"Zpracovatele Masa, Ryb A Pribuzni Pracovnici";4.7872;18950.9675;12050;14044.6537;22460.4752;26718.3157;19210.8079;14.11;4.26;7.47;175.2444;"7511";"7511 Zpracovatele masa, ryb a pribuzni pracovnici ";"Soukroma_sfera"
"85";"Farmaceuticti Asistenti";4.7742;24050.1221;18493.9372;21524.0762;29960.0076;36513.7038;26067.1877;16.3;0.86;7.45;175.7862;"3213";"3213 Farmaceuticti asistenti";"Soukroma_sfera"
"59";"Specialiste V Oblasti Ekonomie";4.7554;41943.712;22105.1457;30550.3664;58360.8175;80036.9096;49875.8229;18.82;2.45;6.56;168.784;"2631";"2631 Specialiste v oblasti ekonomie";"Soukroma_sfera"
"116";"Pracovnici Pro Zadavani Dat";4.7477;23296.8866;16173.2861;19252.1453;29569.6523;38370.7668;25948.5699;12.57;1.82;7.49;172.4578;"4132";"4132 Pracovnici pro zadavani dat";"Soukroma_sfera"
"218";"Obsluha Jerabu, Zdvihacich A Podobnych Manipulacnich Zarizeni";4.6957;22351.5504;13564.2815;17953.1823;26809.9865;31606.1112;22823.2903;14.72;10.38;7.88;172.3026;"8343";"8343 Obsluha jerabu, zdvihacich a podobnych manipulacnich zarizeni";"Soukroma_sfera"
"31";"Inzenyri V Ostatnich Oborech (textilni, Kozedelny, Polygraficky, Drevarsky Apod.)";4.6839;37119.8687;24168.7017;30460.6351;52455.3799;70058.8986;44193.5381;14.38;1.61;6.49;170.1238;"2149";"2149 Inzenyri v ostatnich oborech (textilni, kozedelny, polygraficky, drevarsky apod.)";"Soukroma_sfera"
"176";"Monteri A Opravari Elektrickych Vedeni";4.6803;29043.453;18735.7325;23910.1731;37874.8195;45064.7741;30373.0383;12.88;11.26;6.87;174.172;"7413";"7413 Monteri a opravari elektrickych vedeni";"Soukroma_sfera"
"111";"Technici Pocitacovych Siti A Systemu";4.6678;36364.364;18997.89;25339.6561;46234.2103;61892.2253;39151.3228;15.69;3.72;5.87;172.1626;"3513";"3513 Technici pocitacovych siti a systemu";"Soukroma_sfera"
"191";"Obsluha Lakovacich A Jinych Zarizeni Na Povrchovou Upravu Kovu A Jinych Materialu";4.6343;21955.0777;16206.3775;18960.8367;26595.8891;31914.2469;23197.6987;19.71;6.56;7.01;172.0538;"8122";"8122 Obsluha lakovacich a jinych zarizeni na povrchovou upravu kovu a jinych materialu";"Soukroma_sfera"
"24";"Biologove, Botanici, Zoologove A Pribuzni Specialiste";4.6198;34818.0518;21986.9605;26272.8303;48676.1824;74688.0871;44933.3469;15.2;0.9;6.84;172.9539;"2131";"2131 Biologove, botanici, zoologove a pribuzni specialiste";"Soukroma_sfera"
"428";"Asistenti Pedagogu";4.5666;18139.1586;13418.6967;15851.389;20641.5289;23137.7636;18348.051;2.67;11.45;7.1;173.4128;"5312";"5312 Asistenti pedagogu";"Verejna_sfera"
"420";"Vedouci Provozu Stravovacich, Ubytovacich A Dalsich Zarizeni";4.5558;20472.847;13123.3333;17271.4191;23198.5436;26317.1657;20405.0839;4.28;13.89;4;173.9525;"5151";"5151 Vedouci provozu stravovacich, ubytovacich a dalsich zarizeni";"Verejna_sfera"
"16";"Ridici Pracovnici V Oblasti Financnich A Pojistovacich Sluzeb";4.4928;81896.8714;32028.8185;53117.064;153213.5791;247268.1473;121861.369;32.46;3.06;6.11;172.4941;"1346";"1346 ridici pracovnici v oblasti financnich a pojistovacich sluzeb";"Soukroma_sfera"
"466";"Ridici Nakladnich Automobilu, Tahacu A Specialnich Vozidel";4.463;25411.4108;19928.281;22813.1175;27308.9849;29052.101;24969.5991;6.63;27.54;5.31;178.8359;"8332";"8332 ridici nakladnich automobilu, tahacu a specialnich vozidel";"Verejna_sfera"
"162";"Monteri Kovovych Konstrukci";4.263;24271.5754;14664.8644;19516.2896;29591.6059;35938.1542;24913.6604;20.01;2.76;8.56;177.6665;"7214";"7214 Monteri kovovych konstrukci";"Soukroma_sfera"
"7";"Ridici Pracovnici V Oblasti Vyzkumu A Vyvoje";4.0736;66985.6735;34807.1432;46662.7603;88971.4093;135275.0227;79812.6021;22.98;1.13;5.75;169.9694;"1223";"1223 ridici pracovnici v oblasti vyzkumu a vyvoje";"Soukroma_sfera"
"172";"Tiskari";3.9563;26249.0424;15555.1666;20772.8655;32916.6459;42843.1961;27597.1991;19.53;3.72;7.31;171.0318;"7322";"7322 Tiskari";"Soukroma_sfera"
"205";"Obsluha Parnich Turbin, Kotlu A Pribuznych Zarizeni";3.9323;26184.7893;15416.8333;20678.2456;29985.9416;35790.3523;25829.8385;14.54;9.5;7.18;175.4584;"8182";"8182 Obsluha parnich turbin, kotlu a pribuznych zarizeni";"Soukroma_sfera"
"118";"Bookmakeri, Krupieri A Pracovnici V Pribuznych Oborech";3.9071;19667.9947;14002.6394;16175.4;26118.1693;34984.5478;22648.6199;26.45;3.52;6.14;169.9259;"4212";"4212 Bookmakeri, krupieri a pracovnici v pribuznych oborech";"Soukroma_sfera"
"409";"Knihovnici";3.8593;21402.7478;16665.09;18825.7903;24539.7553;28680.0572;22273.9844;4.56;11.21;5.26;175.1273;"4411";"4411 Knihovnici";"Verejna_sfera"
"29";"Chemicti Inzenyri A Specialiste V Prib.odorech (gumar.,plastik.,potrav.,vodar.apod.)";3.8442;40404.1778;25289.3478;29692.1243;56083.5726;69274.7565;45613.8552;15.4;1.35;6.08;169.0263;"2145";"2145 Chemicti inzenyri a specialiste v prib.odorech (gumar.,plastik.,potrav.,vodar.apod.)";"Soukroma_sfera"
"84";"Odborni Laboranti A Laboratorni Asistenti V Oblasti Zdravotnictvi";3.8317;26765.1081;20039.0816;23090.1643;31675.3043;37804.4911;28333.1432;12.39;5.1;7.06;175.8819;"3212";"3212 Odborni laboranti a laboratorni asistenti v oblasti zdravotnictvi";"Soukroma_sfera"
"206";"Obsluha Stroju Na Baleni, Plneni A Etiketovani";3.7434;19341.403;14187.7135;16483.5839;23857.7173;27916.8007;20492.7582;15.43;5.92;7.36;170.5769;"8183";"8183 Obsluha stroju na baleni, plneni a etiketovani";"Soukroma_sfera"
"198";"Obsluha Sicich A Vysivacich Stroju";3.7027;23178.0903;13919.7668;17323.6675;26714.6379;30049.3563;22338.6201;27.73;9.97;7.11;175.8337;"8153";"8153 Obsluha sicich a vysivacich stroju";"Soukroma_sfera"
"33";"Inzenyri Elektronici";3.702;41955.0046;28403.2413;33393.7927;52433.0294;65169.3424;45942.3382;13.46;1.17;6.44;173.237;"2152";"2152 Inzenyri elektronici ";"Soukroma_sfera"
"371";"Pracovnici Celni Spravy CR";3.6686;35435.0734;27418.2122;31703.3363;38864.3445;43231.0682;35544.4683;6.66;14.47;10.04;164.6364;"3351";"3351 Pracovnici Celni spravy cR";"Verejna_sfera"
"301";"Specialiste V Oblasti Ucetnictvi";3.6672;30972.7989;22434.1917;26156.0269;37167.6659;44521.0341;32717.3564;8.68;18.29;6.63;174.0779;"2411";"2411 Specialiste v oblasti ucetnictvi";"Verejna_sfera"
"121";"Recepcni V Hotelich A Dalsich Ubytovacich Zarizenich";3.5118;18693.6929;11502.7535;14544.0938;21583.941;25650.4717;18994.0609;10.85;3.08;6.54;171.6147;"4224";"4224 Recepcni v hotelich a dalsich ubytovacich zarizenich";"Soukroma_sfera"
"252";"Ridici Pracovnici V Oblasti Pece O Deti";3.3554;33856.6335;26929.3981;29830.6446;38207.6921;42006.7557;34308.4724;5.03;22.69;6.09;173.6647;"1341";"1341 ridici pracovnici v oblasti pece o deti";"Verejna_sfera"
"45";"Specialiste V Oblasti Personalniho Rizeni";3.2263;41027.5858;26214.6528;32144.9342;56400.8901;81058.5218;50336.7105;16.51;1.69;6.31;170.9018;"2423";"2423 Specialiste v oblasti personalniho rizeni";"Soukroma_sfera"
"325";"Specialiste V Oblasti Socialni Prace";3.216;26819.3391;18814.3127;22325.39;30541.6887;34559.0813;26943.2815;5.23;17.21;6.52;173.4067;"2635";"2635 Specialiste v oblasti socialni prace";"Verejna_sfera"
"132";"Personalni Referenti";3.1945;29271.5359;17937.5032;23484.9675;37015.3697;47024.6119;31921.7476;15.13;1.7;6.19;170.8038;"4416";"4416 Personalni referenti";"Soukroma_sfera"
"189";"Obsluha Stroju Na Vyrobu Vyrobku Z Cementu, Kamene A Ostatnich Nerostu";3.1759;26756.9237;19403.3268;21696.8297;33401.892;38509.182;28207.2017;19.57;3.78;9.19;178.455;"8114";"8114 Obsluha stroju na vyrobu vyrobku z cementu, kamene a ostatnich nerostu ";"Soukroma_sfera"
"25";"Specialiste V Oblasti Zemedelstvi, Lesnictvi, Rybarstvi A Vodniho Hospodarstvi";3.1605;30540.1402;19425.6142;27119.3282;35643.2717;43760.388;33422.5215;17.56;0.43;7.37;172.6454;"2132";"2132 Specialiste v oblasti zemedelstvi, lesnictvi, rybarstvi a vodniho hospodarstvi";"Soukroma_sfera"
"107";"Aranzeri A Pribuzni Pracovnici";3.1263;19054.7598;10249.3749;11680.3198;23910.8019;31602.3724;19890.3456;8.99;1.31;5.85;173.0927;"3432";"3432 Aranzeri a pribuzni pracovnici";"Soukroma_sfera"
"464";"Ridici Osobnich A Malych Dodavkovych Automobilu, Taxikari";3.1255;23579.385;17323.6666;19696.6666;28251.2928;31476.595;24245.4402;4.45;21.57;6.15;180.4377;"8322";"8322 ridici osobnich a malych dodavkovych automobilu, taxikari ";"Verejna_sfera"
"166";"Brusici, Lestici A Ostrici Nastroju A Kovu";3.0963;24040.3095;18170.818;20662.018;28143.2898;33340.7224;25009.8198;16.37;6.88;7.16;174.7757;"7224";"7224 Brusici, lestici a ostrici nastroju a kovu";"Soukroma_sfera"
"434";"Pracovnici Ostrahy A Bezpecnostnich Agentur";3.0703;15996.6666;11963.3333;13641.5;18824.6666;22682.9931;16804.8513;2.65;20.23;6.22;171.3658;"5414";"5414 Pracovnici ostrahy a bezpecnostnich agentur";"Verejna_sfera"
"340";"Technici Kartografove, Zememerici A Pracovnici V Pribuznych Oborech";3.0585;23085.4613;18858.8333;20920.4452;25282.8872;27912.9685;23293.5198;5.74;3.79;5.17;173.4007;"3118";"3118 Technici kartografove, zememerici a pracovnici v pribuznych oborech";"Verejna_sfera"
"318";"Podnikovi Pravnici, Pravnici Legislativci, Ostatni Specialiste V Oblasti Prava";3.0255;34424.8346;24677.3207;28890.6263;42782.8161;52187.4205;36869.9704;10.16;19.17;6.91;173.907;"2619";"2619 Podnikovi pravnici, pravnici legislativci, ostatni specialiste v oblasti prava ";"Verejna_sfera"
"134";"Pruvodci A Pribuzni Pracovnici V Osobni Doprave";3.0179;31042.0738;27290.1036;29392.6186;32990.5476;35783.8036;31306.7119;10.15;20.45;11.12;165.9176;"5112";"5112 Pruvodci a pribuzni pracovnici v osobni doprave";"Soukroma_sfera"
"367";"Vedouci V Oblasti Administrativnich Agend";3.0092;36359.6039;22383.1706;26304.9779;45686.8049;54804.5643;37809.631;10.72;24;6.37;173.8066;"3341";"3341 Vedouci v oblasti administrativnich agend";"Verejna_sfera"
"228";"Pomocnici V Kuchyni";2.9597;12465.4265;10025.4227;11125.7624;14434.6776;16727.1861;13034.6182;8.34;3.45;5.43;173.5652;"9412";"9412 Pomocnici v kuchyni";"Soukroma_sfera"
"149";"Hasici Podnikovych Sboru";2.906;30398.9758;22485.7941;25450.3196;37244.0216;43823.0542;32052.0549;9.92;17.34;7.83;168.2382;"5411";"5411 Hasici podnikovych sboru";"Soukroma_sfera"
"21";"Fyzici A Astronomove";2.8553;43059.0664;26981.171;33236.2765;55318.4394;71162.1231;47193.3643;19.08;1.13;5.85;171.7331;"2111";"2111 Fyzici a astronomove";"Soukroma_sfera"
"349";"Odborni Laboranti A Laboratorni Asistenti V Oblasti Zdravotnictvi";2.8238;28555.9295;21735.9583;24555.5076;33889.7147;39198.8995;29885.9797;3.47;15.26;6.8;179.8268;"3212";"3212 Odborni laboranti a laboratorni asistenti v oblasti zdravotnictvi";"Verejna_sfera"
"22";"Chemici (krome Chemickeho Inzenyrstvi)";2.8135;30055.6095;19685.8744;22886.7851;40198.4089;55901.6243;34624.5836;17.68;2.28;6.04;169.0339;"2113";"2113 Chemici (krome chemickeho inzenyrstvi)";"Soukroma_sfera"
"341";"Technici V Ostatnich Oborech (textilni, Kozedelny, Polygraficky, Drevarsky Apod.)";2.8123;26374.3827;18875.5;21543.6938;31311.0452;36285.93;27262.7441;5.97;18.62;5.89;172.9248;"3119";"3119 Technici v ostatnich oborech (textilni, kozedelny, polygraficky, drevarsky apod.)";"Verejna_sfera"
"8";"Ridici Pracovnici V Zemedelstvi, Lesnictvi, Myslivosti A V Oblasti Zivotniho Prostredi";2.8115;36873.9097;24249.0829;28260.8929;49426.1901;63622.958;42061.79;20.29;0.74;6.92;172.3477;"1311";"1311 ridici pracovnici v zemedelstvi, lesnictvi, myslivosti a v oblasti zivotniho prostredi ";"Soukroma_sfera"
"125";"Urednici V Oblasti Statistiky, Financnictvi A Pojistovnictvi";2.7903;31974.4182;19908.3622;23513.6191;42243.9881;56783.7509;36157.5215;15.05;3.87;6.37;171.7383;"4312";"4312 urednici v oblasti statistiky, financnictvi a pojistovnictvi";"Soukroma_sfera"
"203";"Obsluha Automatizovanych Stroju A Zarizeni Na Prvotni Zpracovani Dreva";2.7801;21623.6636;15041.3333;17942.8318;26192.7767;31602.8082;22666.976;20.94;5.66;6.01;174.9724;"8172";"8172 Obsluha automatizovanych stroju a zarizeni na prvotni zpracovani dreva";"Soukroma_sfera"
"298";"Lektori A Ucitele Hudby Na Ostatnich Skolach";2.738;26716.0547;22786.5579;24361.4595;28693.5685;30758.4119;26868.6423;2.12;4.54;2.93;173.928;"2354";"2354 Lektori a ucitele hudby na ostatnich skolach";"Verejna_sfera"
"57";"Advokati, Statni Zastupci A Pribuzni Pracovnici";2.7139;16377.3268;9939.154;10542.8614;22530.8669;35020.2891;20016.9763;2.29;0;6.69;174.4105;"2611";"2611 Advokati, statni zastupci a pribuzni pracovnici";"Soukroma_sfera"
"48";"Specialiste V Oblasti Prodeje A Nakupu Informacnich A Komunikacnich Technologii";2.7117;55135.5233;30523.1936;36626.9821;87018.9602;146373.345;76641.3686;21.29;4.22;6.65;175.0085;"2434";"2434 Specialiste v oblasti prodeje a nakupu informacnich a komunikacnich technologii";"Soukroma_sfera"
"335";"Stavebni Technici";2.7115;27986.3799;22286.4312;25070.8104;31462.8639;35511.9917;28804.2305;6.06;17.12;6.35;173.5405;"3112";"3112 Stavebni technici";"Verejna_sfera"
"58";"Podnikovi Pravnici, Ostatni Specialiste V Oblasti Prava";2.7054;47534.1355;25855.7304;32916.4026;69902.3486;101454.6971;59267.9591;18.69;1.63;6.85;170.8174;"2619";"2619 Podnikovi pravnici, ostatni specialiste v oblasti prava ";"Soukroma_sfera"
"237";"Nejvyssi Statni Urednici";2.6731;48681.2496;31577.093;40761.2345;61147.8934;85225.7931;54173.8803;10.47;31.72;6.96;173.9554;"1112";"1112 Nejvyssi statni urednici";"Verejna_sfera"
"126";"Mzdovi Ucetni";2.6129;24884.863;14984.6124;18353.014;30491.6323;39590.5314;26201.8803;13.21;0.73;6.59;174.0072;"4313";"4313 Mzdovi ucetni";"Soukroma_sfera"
"196";"Obsluha Stroju Na Vyrobu A Zpracovani Vyrobku Z Papiru";2.5635;21727.0441;12999.9289;18073.557;27895.8927;33587.5018;23224.4387;13.87;8.89;8.15;168.9402;"8143";"8143 Obsluha stroju na vyrobu a zpracovani vyrobku z papiru";"Soukroma_sfera"
"257";"Ridici Pracovnici Knihoven, Muzei, V Oblasti Prava A Bezpecnosti A V Dalsich Oblastech";2.5553;52534.6064;33599.9987;42569.0112;64002.5425;74587.568;53771.2206;8.26;29.55;7.97;169.9554;"1349";"1349 ridici pracovnici knihoven, muzei, v oblasti prava a bezpecnosti a v dalsich oblastech";"Verejna_sfera"
"151";"Zahradnici A Pestitele V Zahradnickych Skolkach";2.5499;12241.307;10263.587;10729.2793;17633.1955;21260.8493;15043.2505;11.72;1.23;6.52;173.0511;"6113";"6113 Zahradnici a pestitele v zahradnickych skolkach";"Soukroma_sfera"
"230";"Uklizeci Verejnych Prostranstvi, Cistici Kanalizaci A Pribuzni Pracovnici";2.5241;16554.3427;10004.6666;11989.2227;23075.593;27337.0691;17649.6104;13.33;5.82;7.06;173.1729;"9613";"9613 Uklizeci verejnych prostranstvi, cistici kanalizaci a pribuzni pracovnici";"Soukroma_sfera"
"365";"Odborni Pracovnici Uradu Prace";2.3974;24120.435;18628.4007;21283.2946;26431.5111;28613.6401;24134.6052;3.84;10.8;5.17;178.0162;"3333";"3333 Odborni pracovnici uradu prace";"Verejna_sfera"
"368";"Odborni Administrativni Pracovnici V Pravni Oblasti";2.3767;24491.2235;19035;21483.2036;27899.0667;31867.8816;25339.6861;8.28;10.69;6.66;173.6469;"3342";"3342 Odborni administrativni pracovnici v pravni oblasti";"Verejna_sfera"
