"Kategorie_zamestnani_CZ_ISCO";"Pocet_zamestnancu_v_tis";"Kc_mes_median";"Kc_mes_1_decil";"Kc_mes_1_kvartil";"Kc_mes_3_kvartil";"Kc_mes_9_decil";"Kc_mes_prumer";"odmeny_%";"priplatky_%";"nahrady_%";"hod_mes";"CZ_ISCO";"Povolani";"Dataset"
"117";"4211 Pokladnici ve financnich institucich, na postach a pracovnici v pribuznych oborech";11252;22129;17971;20416;24507;27341;22454;19.19;2.26;7.23;164.7484;"4211";"Pokladnici Ve Financnich Institucich, Na Postach A Pracovnici V Pribuznych Oborech";"Soukroma sfera"
"118";"4212 Bookmakeri, krupieri a pracovnici v pribuznych oborech";3908;19668;14003;16176;26119;34985;22649;26.45;3.52;6.14;169.9259;"4212";"Bookmakeri, Krupieri A Pracovnici V Pribuznych Oborech";"Soukroma sfera"
"119";"4222 Pracovnici v zakaznickych kontaktnich centrech";12371;25249;16998;19890;31926;39853;27912;14.63;3.03;7.5;171.418;"4222";"Pracovnici V Zakaznickych Kontaktnich Centrech";"Soukroma sfera"
"120";"4223 Operatori telefonnich panelu";1193;21752;12236;16671;27493;32607;22626;18.42;3.79;6.41;168.2658;"4223";"Operatori Telefonnich Panelu";"Soukroma sfera"
"121";"4224 Recepcni v hotelich a dalsich ubytovacich zarizenich";3512;18694;11503;14545;21584;25651;18995;10.85;3.08;6.54;171.6147;"4224";"Recepcni V Hotelich A Dalsich Ubytovacich Zarizenich";"Soukroma sfera"
"122";"4225 Pracovnici v informacnich kancelarich";704;20234;16555;18423;23378;30349;21688;7.74;6.46;8.23;170.4549;"4225";"Pracovnici V Informacnich Kancelarich";"Soukroma sfera"
"123";"4226 Recepcni (krome recepcnich v hotelich a dalsich ubytovacich zarizenich)";5530;19144;11962;15177;23739;28099;19991;11.57;1.64;6.66;175.0495;"4226";"Recepcni (krome Recepcnich V Hotelich A Dalsich Ubytovacich Zarizenich)";"Soukroma sfera"
"124";"4311 urednici v oblasti ucetnictvi";37928;21085;12474;16413;26434;33701;22804;14.9;0.4;6.75;172.2908;"4311";"Urednici V Oblasti Ucetnictvi";"Soukroma sfera"
"125";"4312 urednici v oblasti statistiky, financnictvi a pojistovnictvi";2791;31975;19909;23514;42244;56784;36158;15.05;3.87;6.37;171.7383;"4312";"Urednici V Oblasti Statistiky, Financnictvi A Pojistovnictvi";"Soukroma sfera"
"126";"4313 Mzdovi ucetni";2613;24885;14985;18354;30492;39591;26202;13.21;0.73;6.59;174.0072;"4313";"Mzdovi Ucetni";"Soukroma sfera"
"127";"4321 urednici ve skladech";29390;22307;15089;18048;27606;33909;23774;17.29;2.97;7.3;173.2981;"4321";"Urednici Ve Skladech";"Soukroma sfera"
"128";"4322 urednici ve vyrobe";6973;26851;16892;20840;35287;43756;29466;15.33;2.42;6.5;170.9508;"4322";"Urednici Ve Vyrobe";"Soukroma sfera"
"129";"4323 Pracovnici v doprave a preprave";25109;30738;14974;23241;35559;41264;29937;11.06;6.83;7.48;170.5279;"4323";"Pracovnici V Doprave A Preprave";"Soukroma sfera"
"130";"4412 Pracovnici postovniho provozu (krome uredniku na prepazkach)";13282;18230;16142;17009;20285;23171;19116;14.75;2.57;7.65;162.6773;"4412";"Pracovnici Postovniho Provozu (krome Uredniku Na Prepazkach)";"Soukroma sfera"
"131";"4415 Pracovnici evidence dat a archivu";539;23484;16301;20218;30193;37526;25922;13.95;1.99;6.81;168.682;"4415";"Pracovnici Evidence Dat A Archivu";"Soukroma sfera"
"132";"4416 Personalni referenti";3195;29272;17938;23485;37016;47025;31922;15.13;1.7;6.19;170.8038;"4416";"Personalni Referenti";"Soukroma sfera"
"133";"5111 Stevardi a jini obsluzni pracovnici v doprave";1986;22799;17250;20267;27036;35718;25092;7.58;20.43;6.9;167.7436;"5111";"Stevardi A Jini Obsluzni Pracovnici V Doprave";"Soukroma sfera"
"134";"5112 Pruvodci a pribuzni pracovnici v osobni doprave";3018;31043;27291;29393;32991;35784;31307;10.15;20.45;11.12;165.9176;"5112";"Pruvodci A Pribuzni Pracovnici V Osobni Doprave";"Soukroma sfera"
"135";"5120 Kuchari (krome sefkucharu), pomocni kuchari";30641;12460;10008;10950;16970;22598;14837;7.61;1.91;6.65;174.0153;"5120";"Kuchari (krome Sefkucharu), Pomocni Kuchari";"Soukroma sfera"
"136";"5131 cisnici a servirky";28642;11280;9939;10543;13803;19206;13000;4.71;0.88;7.67;174.7887;"5131";"Cisnici A Servirky";"Soukroma sfera"
"137";"5142 Kosmetici a pracovnici v pribuznych oborech";1149;17450;10309;12526;22809;27152;18642;9.29;3.05;6.92;174.7135;"5142";"Kosmetici A Pracovnici V Pribuznych Oborech";"Soukroma sfera"
"138";"5151 Vedouci provozu stravovacich, ubytovacich a dalsich zarizeni";11770;16677;10681;12495;24234;32416;20115;10.45;1.13;5.62;172.4801;"5151";"Vedouci Provozu Stravovacich, Ubytovacich A Dalsich Zarizeni";"Soukroma sfera"
"139";"5153 Spravci objektu";6102;19363;10591;12942;25252;33904;20872;10.35;0.97;6.46;173.7511;"5153";"Spravci Objektu";"Soukroma sfera"
"140";"5169 Pracovnici v oblasti osobnich sluzeb jinde neuvedeni";649;15215;10997;12472;17829;20424;16042;7.79;2.6;6.07;191.2138;"5169";"Pracovnici V Oblasti Osobnich Sluzeb Jinde Neuvedeni";"Soukroma sfera"
"141";"5222 Vedouci pracovnich tymu v prodejnach";21530;24100;13736;17173;32893;45342;27621;15.94;4.9;6.73;175.063;"5222";"Vedouci Pracovnich Tymu V Prodejnach";"Soukroma sfera"
"142";"5223 Prodavaci v prodejnach";139847;15717;11027;12564;19912;24713;17319;12.51;3.52;6.85;174.5195;"5223";"Prodavaci V Prodejnach";"Soukroma sfera"
"143";"5230 Pokladnici a prodavaci vstupenek a jizdenek";14832;17703;12004;14560;21850;25776;18496;9.6;7.74;7.53;171.2143;"5230";"Pokladnici A Prodavaci Vstupenek A Jizdenek";"Soukroma sfera"
"144";"5245 Obsluha cerpacich stanic a mycich linek dopravnich prostredku";9235;14058;10324;11656;16491;19051;14693;10.48;1.09;6.92;179.2773;"5245";"Obsluha Cerpacich Stanic A Mycich Linek Dopravnich Prostredku";"Soukroma sfera"
"145";"5246 Obsluha v zarizenich rychleho obcerstveni";1689;16511;12447;14399;19575;24545;17753;6.14;5.58;5.92;171.7251;"5246";"Obsluha V Zarizenich Rychleho Obcerstveni";"Soukroma sfera"
"146";"5321 Osetrovatele a pracovnici v socialnich sluzbach v oblasti pobytove pece";6018;17946;14891;16039;20573;22112;18483;8.83;6.4;6.65;168.8195;"5321";"Osetrovatele A Pracovnici V Socialnich Sluzbach V Oblasti Pobytove Pece";"Soukroma sfera"
"147";"5322 Osetrovatele a prac.socialnich sluzeb v obl. ambulantnich,terennich sluzeb,domaci pece ";1449;15650;12999;14303;17493;19999;16036;6.72;4.19;6.65;174.1681;"5322";"Osetrovatele A Prac.socialnich Sluzeb V Obl. Ambulantnich,terennich Sluzeb,domaci Pece";"Soukroma sfera"
"148";"5329 Pracovnici osobni pece ve zdravotni a socialni oblasti jinde neuvedeni";9150;16457;13061;14579;18688;21785;17100;9.26;7.83;6.75;172.1381;"5329";"Pracovnici Osobni Pece Ve Zdravotni A Socialni Oblasti Jinde Neuvedeni";"Soukroma sfera"
"149";"5411 Hasici podnikovych sboru";2906;30399;22486;25451;37245;43824;32053;9.92;17.34;7.83;168.2382;"5411";"Hasici Podnikovych Sboru";"Soukroma sfera"
"150";"5414 Pracovnici ostrahy a bezpecnostnich agentur";35409;12315;10677;11233;14720;19374;14173;7.47;4.84;6.36;169.9196;"5414";"Pracovnici Ostrahy A Bezpecnostnich Agentur";"Soukroma sfera"
"151";"6113 Zahradnici a pestitele v zahradnickych skolkach";2550;12242;10264;10730;17634;21261;15044;11.72;1.23;6.52;173.0511;"6113";"Zahradnici A Pestitele V Zahradnickych Skolkach";"Soukroma sfera"
"152";"6121 Chovatele hospodarskych zvirat (krome drubeze)";13742;20658;12567;17476;24624;28986;21112;16.05;1.07;8.09;181.4786;"6121";"Chovatele Hospodarskych Zvirat (krome Drubeze)";"Soukroma sfera"
"153";"6210 Kvalifikovani pracovnici v lesnictvi a pribuznych oblastech";1558;19227;13846;15410;22810;26592;19927;16.79;1.93;9.01;172.2932;"6210";"Kvalifikovani Pracovnici V Lesnictvi A Pribuznych Oblastech";"Soukroma sfera"
"154";"7112 Zednici, kamnari, dlazdici a monteri suchych staveb";17059;18059;11362;14801;21451;24903;18360;13.1;1.44;8.95;177.8604;"7112";"Zednici, Kamnari, Dlazdici A Monteri Suchych Staveb";"Soukroma sfera"
"155";"7115 Tesari a stavebni truhlari";5034;18852;14834;17453;23662;28280;20536;12.74;1.54;8.82;178.3327;"7115";"Tesari A Stavebni Truhlari";"Soukroma sfera"
"156";"7119 Ostatni remeslnici a kvalifikovani pracovnici hlavni stavebni vyroby";17079;19657;11407;16053;23991;29400;20649;13.88;2.03;8.61;178.1799;"7119";"Ostatni Remeslnici A Kvalifikovani Pracovnici Hlavni Stavebni Vyroby";"Soukroma sfera"
"157";"7126 Instalateri, potrubari, stavebni zamecnici a stavebni klempiri";12587;23301;14391;19292;27090;30568;23355;15.78;4.06;7.99;172.539;"7126";"Instalateri, Potrubari, Stavebni Zamecnici A Stavebni Klempiri";"Soukroma sfera"
"158";"7132 Lakyrnici a nateraci (krome stavebnich)";6461;26319;16170;20676;32513;41866;27410;17.97;5.04;6.71;173.8945;"7132";"Lakyrnici A Nateraci (krome Stavebnich)";"Soukroma sfera"
"159";"7211 Modelari, formiri, jadrari a slevaci ve slevarnach ";2350;24847;18168;21771;27975;32969;25222;20.16;8.86;7.88;171.9243;"7211";"Modelari, Formiri, Jadrari A Slevaci Ve Slevarnach";"Soukroma sfera"
"160";"7212 Svareci, rezaci plamenem a pajeci";21450;26696;17585;22210;32938;38957;27723;17.96;4.9;7.91;173.6654;"7212";"Svareci, Rezaci Plamenem A Pajeci";"Soukroma sfera"
"161";"7213 Pracovnici na zpracovani plechu ";5842;25092;12957;19418;34848;42730;26953;18.45;4.21;6.2;172.2936;"7213";"Pracovnici Na Zpracovani Plechu";"Soukroma sfera"
"162";"7214 Monteri kovovych konstrukci";4263;24272;14665;19517;29592;35939;24914;20.01;2.76;8.56;177.6665;"7214";"Monteri Kovovych Konstrukci";"Soukroma sfera"
"163";"7221 Kovari";623;28663;20129;23484;34828;41770;29792;21.16;15.84;7.35;168.9462;"7221";"Kovari";"Soukroma sfera"
"164";"7222 Nastrojari a pribuzni pracovnici";86667;23209;15116;19053;28790;35799;24603;15.92;4.66;7.74;173.6352;"7222";"Nastrojari A Pribuzni Pracovnici";"Soukroma sfera"
"165";"7223 Serizovaci a obsluha obrabecich stroju (krome drevoobrabecich)";61257;26314;16922;21239;32455;39928;27552;16.43;5.23;6.72;173.1928;"7223";"Serizovaci A Obsluha Obrabecich Stroju (krome Drevoobrabecich)";"Soukroma sfera"
"166";"7224 Brusici, lestici a ostrici nastroju a kovu";3097;24041;18171;20663;28144;33341;25010;16.37;6.88;7.16;174.7757;"7224";"Brusici, Lestici A Ostrici Nastroju A Kovu";"Soukroma sfera"
"167";"7231 Mechanici a opravari motorovych vozidel";27520;21230;10608;13647;27555;36435;22208;19.34;1.6;6.86;175.966;"7231";"Mechanici A Opravari Motorovych Vozidel";"Soukroma sfera"
"168";"7232 Mechanici a opravari leteckych motoru a zarizeni";769;36429;23165;28779;46266;57654;37963;7.83;8.26;8.43;176.3111;"7232";"Mechanici A Opravari Leteckych Motoru A Zarizeni";"Soukroma sfera"
"169";"7233 Mechanici a opravari zemedelskych, prumyslovych a jinych stroju a zarizeni";34083;26014;17444;21235;31702;38697;27241;17.34;5.86;7.37;174.386;"7233";"Mechanici A Opravari Zemedelskych, Prumyslovych A Jinych Stroju A Zarizeni";"Soukroma sfera"
"170";"7315 Sklari, brusici skla, vyrobci bizuterie a sklenenych ozdob";1512;19907;11951;16497;23590;28668;20603;18.95;8.13;7.41;168.0754;"7315";"Sklari, Brusici Skla, Vyrobci Bizuterie A Sklenenych Ozdob";"Soukroma sfera"
"171";"7321 Pracovnici pripravy tisku";924;21679;10575;12281;27229;31571;21176;16.87;4.16;6.78;170.0787;"7321";"Pracovnici Pripravy Tisku";"Soukroma sfera"
"172";"7322 Tiskari";3957;26250;15556;20773;32917;42844;27598;19.53;3.72;7.31;171.0318;"7322";"Tiskari";"Soukroma sfera"
"173";"7323 Pracovnici konecne upravy tisku a vazaci knih";1192;22923;14806;18049;26712;31808;23039;16.32;6.04;6.55;172.456;"7323";"Pracovnici Konecne Upravy Tisku A Vazaci Knih";"Soukroma sfera"
"174";"7411 Stavebni a provozni elektrikari";7365;24156;16037;19738;29827;36661;25457;15.67;5.31;7.83;175.626;"7411";"Stavebni A Provozni Elektrikari";"Soukroma sfera"
"175";"7412 Elektromechanici";30909;26281;17079;21126;32603;39406;27482;15.49;7.09;7.71;172.4417;"7412";"Elektromechanici";"Soukroma sfera"
"176";"7413 Monteri a opravari elektrickych vedeni";4681;29044;18736;23911;37875;45065;30374;12.88;11.26;6.87;174.172;"7413";"Monteri A Opravari Elektrickych Vedeni";"Soukroma sfera"
"177";"7421 Mechanici a opravari elektronickych pristroju";10261;27883;17551;22264;35146;44698;29475;15.92;6.1;6.74;172.8889;"7421";"Mechanici A Opravari Elektronickych Pristroju";"Soukroma sfera"
"178";"7511 Zpracovatele masa, ryb a pribuzni pracovnici ";4788;18951;12050;14045;22461;26719;19211;14.11;4.26;7.47;175.2444;"7511";"Zpracovatele Masa, Ryb A Pribuzni Pracovnici";"Soukroma sfera"
"179";"7512 Pekari, cukrari (krome sefcukraru) a vyrobci cukrovinek ";7289;15840;11238;12400;18412;21905;16173;10.57;4.93;7.63;175.0462;"7512";"Pekari, Cukrari (krome Sefcukraru) A Vyrobci Cukrovinek";"Soukroma sfera"
"180";"7514 Zpracovatele ovoce, zeleniny a pribuznych produktu";448;16835;14590;15719;18572;20770;17242;13.9;2.78;13.91;167.7975;"7514";"Zpracovatele Ovoce, Zeleniny A Pribuznych Produktu";"Soukroma sfera"
"181";"7515 Ochutnavaci, degustatori a kontrolori kvality potravin a napoju a pribuzni pracovnici";1135;21242;12041;12416;28777;34627;22638;10.15;5.25;7.72;173.755;"7515";"Ochutnavaci, Degustatori A Kontrolori Kvality Potravin A Napoju A Pribuzni Pracovnici";"Soukroma sfera"
"182";"7522 Truhlari (krome stavebnich) a pracovnici v pribuznych oborech";13227;15812;10806;12075;19404;23601;16529;13.01;0.81;8.28;174.6978;"7522";"Truhlari (krome Stavebnich) A Pracovnici V Pribuznych Oborech";"Soukroma sfera"
"183";"7532 Modelari odevu, strihaci a pribuzni pracovnici";559;21798;13468;16986;28661;32971;23060;31.29;7.73;7.66;174.5145;"7532";"Modelari Odevu, Strihaci A Pribuzni Pracovnici";"Soukroma sfera"
"184";"7533 svadleny, sicky, vysivaci a pracovnici v pribuznych oborech";4986;14066;10529;11871;17363;20551;15021;17.17;1.4;7.85;172.1326;"7533";"Svadleny, Sicky, Vysivaci A Pracovnici V Pribuznych Oborech";"Soukroma sfera"
"185";"7542 Strelmistri";140;36135;31336;33590;38406;41637;36010;15.11;7.53;12.65;174.2305;"7542";"Strelmistri";"Soukroma sfera"
"186";"7543 Kvalitari a testovaci vyrobku, laboranti (krome potravin a napoju)";17397;23842;15534;19183;29835;36286;25263;15.93;6.97;6.78;170.4289;"7543";"Kvalitari A Testovaci Vyrobku, Laboranti (krome Potravin A Napoju)";"Soukroma sfera"
"187";"8111 Obsluha dulnich zarizeni (vcetne horniku)";7090;31193;17316;26548;36671;42336;31134;17.78;11.25;12.23;167.8217;"8111";"Obsluha Dulnich Zarizeni (vcetne Horniku)";"Soukroma sfera"
"188";"8112 Obsluha zarizeni na upravu rudnych a nerudnych surovin";1767;24675;20064;22318;27739;30672;25218;16.11;11.01;8.61;167.6504;"8112";"Obsluha Zarizeni Na Upravu Rudnych A Nerudnych Surovin";"Soukroma sfera"
"189";"8114 Obsluha stroju na vyrobu vyrobku z cementu, kamene a ostatnich nerostu ";3176;26757;19404;21697;33402;38510;28208;19.57;3.78;9.19;178.455;"8114";"Obsluha Stroju Na Vyrobu Vyrobku Z Cementu, Kamene A Ostatnich Nerostu";"Soukroma sfera"
"190";"8121 Obsluha zarizeni na zpracovani kovu ";25622;25237;16891;20838;30275;35350;25996;16.14;11.74;6.95;171.0195;"8121";"Obsluha Zarizeni Na Zpracovani Kovu";"Soukroma sfera"
"191";"8122 Obsluha lakovacich a jinych zarizeni na povrchovou upravu kovu a jinych materialu";4635;21956;16207;18961;26596;31915;23198;19.71;6.56;7.01;172.0538;"8122";"Obsluha Lakovacich A Jinych Zarizeni Na Povrchovou Upravu Kovu A Jinych Materialu";"Soukroma sfera"
"192";"8131 Obsluha stroju a zarizeni pro chemickou vyrobu";11436;25277;17446;20169;29822;35693;25998;15.68;12.27;7.48;167.0846;"8131";"Obsluha Stroju A Zarizeni Pro Chemickou Vyrobu";"Soukroma sfera"
"193";"8132 Obsluha stroju a zarizeni na vyrobu a zpracovani fotografickych materialu";159;19108;14215;16468;24122;28497;20517;16.03;5.63;5.68;165.1424;"8132";"Obsluha Stroju A Zarizeni Na Vyrobu A Zpracovani Fotografickych Materialu";"Soukroma sfera"
"194";"8141 Obsluha stroju na vyrobu a zpracovani vyrobku z pryze";10310;26923;18693;21640;34801;40253;28402;19.67;10.79;7.64;171.9703;"8141";"Obsluha Stroju Na Vyrobu A Zpracovani Vyrobku Z Pryze";"Soukroma sfera"
"195";"8142 Obsluha stroju na vyrobu a zpracovani vyrobku z plastu";27524;21136;14724;17278;25007;30888;21895;16.57;5.46;6.73;170.4665;"8142";"Obsluha Stroju Na Vyrobu A Zpracovani Vyrobku Z Plastu";"Soukroma sfera"
"196";"8143 Obsluha stroju na vyrobu a zpracovani vyrobku z papiru";2564;21728;13000;18074;27896;33588;23225;13.87;8.89;8.15;168.9402;"8143";"Obsluha Stroju Na Vyrobu A Zpracovani Vyrobku Z Papiru";"Soukroma sfera"
"197";"8151 Obsluha stroju na upravu vlaken, dopradani a navijeni prize a niti";1294;21871;17246;19526;24253;27301;22669;19.93;16.11;5.67;172.9512;"8151";"Obsluha Stroju Na Upravu Vlaken, Dopradani A Navijeni Prize A Niti";"Soukroma sfera"
"198";"8153 Obsluha sicich a vysivacich stroju";3703;23179;13920;17324;26715;30050;22339;27.73;9.97;7.11;175.8337;"8153";"Obsluha Sicich A Vysivacich Stroju";"Soukroma sfera"
"199";"8156 Obsluha stroju na vyrobu obuvi a pribuznych vyrobku";400;15751;13005;14282;17564;19939;16198;11.18;3.32;5.84;171.9563;"8156";"Obsluha Stroju Na Vyrobu Obuvi A Pribuznych Vyrobku";"Soukroma sfera"
"200";"8159 Obsluha stroju na vyrobu, upravu textilnich, kozenych, kozesinovych vyrobku j. n.";2089;19304;14127;17084;22355;26908;20206;15.25;8.68;6.4;171.2423;"8159";"Obsluha Stroju Na Vyrobu, Upravu Textilnich, Kozenych, Kozesinovych Vyrobku J. N.";"Soukroma sfera"
"201";"8160 Obsluha stroju na vyrobu potravin a pribuznych vyrobku";17213;20558;13963;17082;24754;29111;21297;15.32;4.52;8.28;174.5385;"8160";"Obsluha Stroju Na Vyrobu Potravin A Pribuznych Vyrobku";"Soukroma sfera"
"202";"8171 Obsluha stroju a zarizeni na vyrobu a zpracovani papiru";844;26793;16311;21489;32884;38845;27496;19.3;5.7;7.58;170.6149;"8171";"Obsluha Stroju A Zarizeni Na Vyrobu A Zpracovani Papiru";"Soukroma sfera"
"203";"8172 Obsluha automatizovanych stroju a zarizeni na prvotni zpracovani dreva";2781;21624;15042;17943;26193;31603;22667;20.94;5.66;6.01;174.9724;"8172";"Obsluha Automatizovanych Stroju A Zarizeni Na Prvotni Zpracovani Dreva";"Soukroma sfera"
"204";"8181 Obsluha stroju a zarizeni na vyrobu skla, keramiky a stavebnin";12941;27513;18239;22525;32938;36816;27870;17.63;9.27;7.81;168.15;"8181";"Obsluha Stroju A Zarizeni Na Vyrobu Skla, Keramiky A Stavebnin";"Soukroma sfera"
"205";"8182 Obsluha parnich turbin, kotlu a pribuznych zarizeni";3933;26185;15417;20679;29986;35791;25830;14.54;9.5;7.18;175.4584;"8182";"Obsluha Parnich Turbin, Kotlu A Pribuznych Zarizeni";"Soukroma sfera"
"206";"8183 Obsluha stroju na baleni, plneni a etiketovani";3744;19342;14188;16484;23858;27917;20493;15.43;5.92;7.36;170.5769;"8183";"Obsluha Stroju Na Baleni, Plneni A Etiketovani";"Soukroma sfera"
"207";"8189 Obsluha stacionarnich stroju a zarizeni jinde neuvedena";18967;24882;16110;20523;30563;37971;26121;15.9;10.52;6.78;169.7595;"8189";"Obsluha Stacionarnich Stroju A Zarizeni Jinde Neuvedena";"Soukroma sfera"
"208";"8211 Montazni delnici mechanickych zarizeni";38956;23796;16222;19888;28231;32558;24253;15.34;8.9;6.12;170.7041;"8211";"Montazni Delnici Mechanickych Zarizeni";"Soukroma sfera"
"209";"8212 Montazni delnici elektrickych, energetickych a elektronickych zarizeni";38023;20137;14466;17084;24546;29538;21644;15.21;6.12;6.84;170.806;"8212";"Montazni Delnici Elektrickych, Energetickych A Elektronickych Zarizeni";"Soukroma sfera"
"210";"8219 Montazni delnici ostatnich vyrobku";59981;21611;14261;17092;27123;35033;23068;17.17;5.49;6.25;171.9029;"8219";"Montazni Delnici Ostatnich Vyrobku";"Soukroma sfera"
"211";"8311 Strojvedouci a ridici kolejovych motorovych voziku";7161;36734;28324;34156;39922;44403;36791;9.36;16.44;10.38;169.4183;"8311";"Strojvedouci A Ridici Kolejovych Motorovych Voziku";"Soukroma sfera"
"212";"8312 Signalisti, brzdari, vyhybkari, posunovaci a pribuzni pracovnici";7230;26465;21640;24203;29173;32139;26859;9.15;12.66;9.61;165.4465;"8312";"Signalisti, Brzdari, Vyhybkari, Posunovaci A Pribuzni Pracovnici";"Soukroma sfera"
"213";"8322 ridici osobnich a malych dodavkovych automobilu, taxikari ";13949;19152;11018;13514;23851;28600;19689;13.98;2.36;6.68;175.4449;"8322";"Ridici Osobnich A Malych Dodavkovych Automobilu, Taxikari";"Soukroma sfera"
"214";"8331 ridici autobusu, trolejbusu a tramvaji";15747;26559;20976;23362;33651;36588;27766;8.8;15.91;7.54;188.1348;"8331";"Ridici Autobusu, Trolejbusu A Tramvaji";"Soukroma sfera"
"215";"8332 ridici nakladnich automobilu, tahacu a specialnich vozidel";101991;19064;12148;14048;24790;29878;20157;17.92;2.09;7.24;179.1932;"8332";"Ridici Nakladnich Automobilu, Tahacu A Specialnich Vozidel";"Soukroma sfera"
"216";"8341 ridici a obsluha zemedelskych a lesnickych stroju";15118;21177;15074;17681;24320;27086;21355;16.06;0.55;9.41;185.6652;"8341";"Ridici A Obsluha Zemedelskych A Lesnickych Stroju";"Soukroma sfera"
"217";"8342 Obsluha zeleznicnich, zemnich a pribuznych stroju a zarizeni";10355;24558;17744;21096;28635;34541;25410;19.89;4.21;9.07;179.2799;"8342";"Obsluha Zeleznicnich, Zemnich A Pribuznych Stroju A Zarizeni";"Soukroma sfera"
"218";"8343 Obsluha jerabu, zdvihacich a podobnych manipulacnich zarizeni";4696;22352;13565;17954;26810;31607;22824;14.72;10.38;7.88;172.3026;"8343";"Obsluha Jerabu, Zdvihacich A Podobnych Manipulacnich Zarizeni";"Soukroma sfera"
"219";"8344 Obsluha vysokozdviznych a jinych voziku a skladnici";65667;22395;15170;18845;26806;33218;23401;17.6;4.53;6.77;172.9468;"8344";"Obsluha Vysokozdviznych A Jinych Voziku A Skladnici";"Soukroma sfera"
"220";"9112 Uklizeci a pomocnici v hotelich, administrativnich, prumyslovych a jinych objektech";42867;12112;10049;10618;14809;18135;13356;10.71;1.33;6.29;172.5417;"9112";"Uklizeci A Pomocnici V Hotelich, Administrativnich, Prumyslovych A Jinych Objektech";"Soukroma sfera"
"221";"9311 Pomocni pracovnici v oblasti tezby";808;22984;17335;19953;24878;27865;22809;13.69;9.34;9.59;165.6418;"9311";"Pomocni Pracovnici V Oblasti Tezby";"Soukroma sfera"
"222";"9312 Figuranti, delnici vykopovych praci a delnici v oblasti vystavby inzenyrskych del";1836;23684;16297;18537;28203;33654;24237;22.91;3.52;8.03;181.3476;"9312";"Figuranti, Delnici Vykopovych Praci A Delnici V Oblasti Vystavby Inzenyrskych Del";"Soukroma sfera"
"223";"9313 Delnici v oblasti vystavby budov";7549;13764;10023;10287;18179;22566;14990;15.64;0.29;7.71;177.3654;"9313";"Delnici V Oblasti Vystavby Budov";"Soukroma sfera"
"224";"9321 Rucni balici, plnici a etiketovaci";6187;17201;12074;14190;20528;25682;18238;10.78;4.38;7.31;172.1731;"9321";"Rucni Balici, Plnici A Etiketovaci";"Soukroma sfera"
"225";"9329 Manipulacni a ostatni pomocni delnici ve vyrobe";54840;18124;10950;14035;22609;27042;18862;14;4.96;6.88;172.1834;"9329";"Manipulacni A Ostatni Pomocni Delnici Ve Vyrobe";"Soukroma sfera"
"226";"9333 Pomocni manipulacni pracovnici (krome vyroby)";25145;18510;12488;15196;22687;27092;19523;13.88;3.92;7.48;173.2245;"9333";"Pomocni Manipulacni Pracovnici (krome Vyroby)";"Soukroma sfera"
"227";"9411 Pracovnici pro pripravu rychleho obcerstveni ";230;14754;10203;12660;18148;20003;15333;12.84;2.11;4.85;172.1042;"9411";"Pracovnici Pro Pripravu Rychleho Obcerstveni";"Soukroma sfera"
"228";"9412 Pomocnici v kuchyni";2960;12466;10026;11126;14435;16728;13035;8.34;3.45;5.43;173.5652;"9412";"Pomocnici V Kuchyni";"Soukroma sfera"
"229";"9611 Pracovnici odvozu a recyklace odpadu";1572;18023;10871;15309;21603;25437;18462;9.73;7.3;8.16;176.7019;"9611";"Pracovnici Odvozu A Recyklace Odpadu";"Soukroma sfera"
"230";"9613 Uklizeci verejnych prostranstvi, cistici kanalizaci a pribuzni pracovnici";2525;16555;10005;11990;23076;27338;17650;13.33;5.82;7.06;173.1729;"9613";"Uklizeci Verejnych Prostranstvi, Cistici Kanalizaci A Pribuzni Pracovnici";"Soukroma sfera"
"231";"9621 Kuryri, dorucovatele baliku a nosici zavazadel";370;14588;11253;11310;17826;21191;15268;9.68;3.66;5.93;171.2898;"9621";"Kuryri, Dorucovatele Baliku A Nosici Zavazadel";"Soukroma sfera"
"232";"9622 Pomocni pracovnici udrzby budov a souvisejicich prostor";1779;15216;11221;12844;19035;24490;16796;12.01;1.63;6.48;173.5959;"9622";"Pomocni Pracovnici Udrzby Budov A Souvisejicich Prostor";"Soukroma sfera"
"233";"9623 Pracovnici provadejici odecet meridel a vyberci penez z prodejnich automatu ";327;22955;18025;19343;24284;25922;22684;19.24;4.46;5.75;163.6774;"9623";"Pracovnici Provadejici Odecet Meridel A Vyberci Penez Z Prodejnich Automatu";"Soukroma sfera"
"234";"0110 Generalove a dustojnici v ozbrojenych silach";5643;41719;33288;36119;48372;53177;43337;0.45;4.22;0.01;173.2945;"0110";"Generalove A Dustojnici V Ozbrojenych Silach";"Verejna sfera"
"235";"0210 Poddustojnici v ozbrojenych silach";7911;23144;21462;22085;25775;28261;24020;0.07;4.61;0;173.3058;"0210";"Poddustojnici V Ozbrojenych Silach";"Verejna sfera"
"236";"0310 Zamestnanci v ozbrojenych silach (kr.generalu,dustojniku,poddustojniku)";8600;30572;11500;22415;33237;35822;28021;0.15;4.9;0.02;173.305;"0310";"Zamestnanci V Ozbrojenych Silach (kr.generalu,dustojniku,poddustojniku)";"Verejna sfera"
"237";"1112 Nejvyssi statni urednici";2674;48682;31578;40762;61148;85226;54174;10.47;31.72;6.96;173.9554;"1112";"Nejvyssi Statni Urednici";"Verejna sfera"
